state_id,state_en,state_fa,is_terminal,trigger,actor,input,output,evidence,permission,timeout,transition,failure_path,refund_condition,dispute_condition,ledger_event,audit_log,compliance_gate,legal_dependency,insurance_dependency,notes
AUTHORIZE,Authorize,مجوز پرداخت,0,خریدار «پرداخت» را برای سفارش قفل‌شده (PO تأییدشده) تأیید می‌کند؛ روش پرداخت از فهرست مجاز FIN-001 انتخاب شده است,خریدار (شروع‌کننده) + سیستم پرداخت/درگاه یا بانک حواله,شناسه سفارش؛ مبلغ و ارز؛ روش پرداخت (کد M-از FIN-001)؛ جزئیات حساب مقصد/ذی‌نفع؛ لینک PO/پروفرما,مرجع پرداخت (ref) + وضعیت «در انتظار واریز» (بدون جابه‌جایی وجوه),رسید درگاه یا سند حواله (اسکرین‌شات MT103/اعلان بانکی)؛ رکورد PO؛ نتیجه اولیه سندبازار,روش در فهرست مجاز؛ عدم تطابق با رجیستری prohibited (PR-01..PR-07)؛ مقصد در فهرست کشورهای فعال (امارات = مسدود طبق TRD-006)؛ سندبازار اولیه طرفین,پارامتر پیشنهادی FIN: ۲۴ ساعت (درگاه) یا ۳ روز کاری (حواله)؛ پس از آن → CANCELLED (بدون کسر وجه). تأیید نهایی: PM/LEG,→ HOLD (پرداخت موفق)؛ → CANCELLED (شکست/انقضا),خطای درگاه/رجوع حواله/عدم تطبیق سندبازار → CANCELLED با پیام شفاف؛ هیچ وجهی جابه‌جا نمی‌شود مگر از مسیر REFUND,لغو پیش از ورود وجوه → بدون کارمزد؛ هیچ مبلغی هنوز برداشت نهایی نشده,ندارد (پیش از شروع؛ هر مغایرت = CANCELLED)؛ در صورت واریز اشتباه از مسیر غیرمجاز → انجماد + گزارش CMP (بدون آزادسازی),"L01,L02",AUD-001: actor، روش، مبلغ، ارز، مرجع، هش اسناد,"G1,G2,G3,G4",LEG-001 (نقش حقوقی پلتفرم)؛ LEG-003 (PO/پرداخت)؛ تأیید مدل پرداخت توسط LEG و CMP (پیش‌شرط فعال‌سازی درگاه),ندارد,گاهی قفل تعهد؛ موج اول کشورها: امارات مسدود = این حالت برای آن مقصد قابل ورود نیست
HOLD,Hold,نگهداشت وجه (حساب امانی),0,تأیید واریز/قفل وجوه در حساب امانی نزد بانک (طبق توافق‌نامه امانی) یا کانال نگهداشت مورد تأیید LEG/CMP,سیستم/امین (پلتفرم) + بانک نگهدارنده (حساب امانی) + CMP (نظارت),شناسه تراکنش؛ مبلغ؛ ارز؛ شناسه حساب امانی؛ ارکان قرارداد پایه؛ اطلاعات هویتی پرداخت‌کننده/متعهد (ماده ۱۵ دستورالعمل امانی),موجودی قفل‌شده (hold) + شناسه escrow + بدهی پلتفرم در حساب امانی,اعلان/صورتحساب بانکی؛ توافق‌نامه امانی؛ تأیید هویت پرداخت‌کننده؛ مطابقت مبلغ با PO,**مدل نگهداشت وجه = مسدودکننده تا تأیید کتبی LEG و CMP**؛ حساب امانی فعال؛ رعایت دوره آزمایشی دستورالعمل امانی (تا پایان ۱۴۰۴)؛ بانک نگهدارنده غیرمسدود,پارامتر پیشنهادی FIN: حداکثر ۱۸۰ روز نگهداشت؛ تمدید فقط با تأیید MGT+LEG؛ انقضا → EXPIRED,→ VERIFY (قفل موفق)؛ → EXPIRED (انقضا),عدم وصول وجوه → CANCELLED؛ مغایرت مبلغ/حساب → انجماد دستی (کارشناس، بدون جابه‌جایی) تا رفع مغایرت,لغو توافقی پیش از VERIFY → REFUND کامل؛ عدم امکان قفل → بازگشت خودکار (CANCELLED→REFUND),ندارد (وجه بدون ریسک کالا؛ اختلاف بعد از واریز اشتباه = مسیر CMP),L02,AUD-002: زمان قفل، مبلغ، ارز، بانک، هش توافق‌نامه,"G5,G6,G7",دستورالعمل ناظر بر حساب امانی CBI (مصوب ۱۶/۰۶/۱۴۰۴، آزمایشی تا پایان ۱۴۰۴)؛ **تأیید LEG برای مدل نگهداشت**؛ LEG-001؛ تأیید CMP,ندارد,هیچ آزادسازی بدون دستور امین؛ هیچ برداشت برای مقاصد دیگر مجاز نیست
VERIFY,Verify,احراز و سندبازار,0,ورود وجوه به HOLD؛ شروع فرایند انطباق (KYC/KYB + سندبازار + کنترل کالا) پیش از هر تعهد عملیاتی,سیستم خودکار + CMP (تصمیم انطباق)؛ FIN (فقط استثنای ثبت‌شده)؛ TRADE (طبقه‌بندی کالا),اسناد KYB دو طرف؛ ذی‌نفع نهایی؛ بانک‌ها/فورواردر؛ HS/شرح کالا؛ مدارک مبدأ؛ شناسه مجوز (TRD-004/005)؛ داده TBML,پرونده انطباق: وضعیت verified / blocked / در انتظار تکمیل؛ گواهی سندبازار؛ برچسب کشور مقصد,نتیجه screening علیه فهرست‌های OFAC SDN/EU/UN؛ گواهی KYB؛ شناسه مجوز مبدأ؛ تطبیق اسناد با کالا (anti-TBML),فقط ابزار سندبازار تأییدشده CMP؛ **عدم پذیرش اسناد غیرواقعی**؛ هیچ مسیر «جایگزین» برای گریز از تعلیق امارات یا PR تعریف نمی‌شود,پارامتر پیشنهادی FIN: ۲ روز کاری استاندارد؛ سقف ۵ روز کاری؛ پس از آن (بدون تصمیم مستند) → EXPIRED→REFUND,→ INSPECT (تأیید)؛ → CANCELLED (رد انطباق),رد سندبازار/تحریم → CANCELLED + گزارش CMP؛ مدارک ناقص → بازگشت به VERIFY (همان حالت، بدون جابه‌جایی وجه),رد انطباق → REFUND کامل (وجه هرگز به فروشنده نرفته)؛ بدون جریمه,اعتراض به رد انطباق → بررسی CMP (وجه در HOLD می‌ماند)؛ خروجی: ادامه VERIFY یا CANCELLED,L03,AUD-003: فهرست لیست‌های بررسی‌شده، نتیجه، امضاکننده,"G1,G2,G3,G4,G8,G9,G10",CMP-001 (سندبازار)؛ CMP-002 (کالای حساس/دوکاربرده)؛ LEG-003؛ LEG-004 (داده شخصی)؛ LEG-005 (حوزه قضایی),ندارد,گیت مسدودکننده: مقصد=امارات → هرگز VERIFY نمی‌شود (از AUTHORIZE مسدود)
INSPECT,Inspect,بازرسی (پیش‌تولید/حین‌تولید/پیش‌حمل),0,پس از VERIFY؛ صدور درخواست بازرسی مطابق INSP-001 (نوع، زمان، معیار از PO),INSP (بازرس تأییدشده) + پلتفرم (ضبط و توزیع شواهد)؛ TRADE (مشخصات کالا),درخواست بازرسی؛ مشخصات PO؛ معیار کیفیت/کمیّت؛ آدرس/زمان؛ کد سفارش,گزارش بازرسی دیجیتال با نتیجه pass / fail / hold + بسته شواهد,گزارش امضاشده؛ عکس/ویدئو/آزمون؛ شناسه بازرس؛ تطبیق با PO؛ نتیجه در قالب «سند بانکی» (پل FIN-001 F6),بازرس/نهاد تأییدشده (INSP-001)؛ قالب گزارش = سند قابل‌ارائه در LC/وصولی/اسکرو؛ بدون تأیید خارج از مسیر,پارامتر پیشنهادی FIN: ۵ روز کاری گزارش؛ سقف ۱۰ روز کاری؛ پس از آن → DISPUTE (یا REFUND توافقی). تصمیم نهایی: INSP,→ SHIP (pass)؛ → REFUND (fail + توافق)؛ → DISPUTE (اختلاف کیفیت),fail → DISPUTE (در صورت ادعای خریدار) یا REFUND (توافق/فسخ توافقی)؛ گزارش ناقص → بازگشت به INSPECT,fail تأییدشده + توافق → REFUND کامل؛ انصراف خریدار پیش از حمل → REFUND منهای هزینه‌های واقعی قابل‌اثبات (تأیید LEG),ادعای عدم تطابق کیفیت/کمیّت (مستند به گزارش) از خریدار → DISPUTE؛ ادعای جعلی‌بودن گزارش از فروشنده → DISPUTE (بازبینی مستقل),"L04,L11",AUD-004: شناسه گزارش، هش، امضا، تصمیم,"G11,G12",LEG-003 (معیار کیفیت/عهده‌داری)؛ INSP-001 (قالب/رویه بازرسی),بیمه مسئولیت بازرس: «داده در دسترس نبود» (نیازمند استعلام INSP/INS؛ خارج از این تسک),گزارش بازرسی باید خروجی INSP و ورودی اسنادی SHIP/RELEASE باشد
SHIP,Ship,حمل (خروج از گمرک مبدأ),0,نتیجه INSPECT=pass؛ صدور اسناد حمل و اظهار گمرک مبدأ؛ ثبت Incoterms (TRD-003),فروشنده/فورواردر (اجرا) + گمرک مبدأ (اظهار) + پلتفرم (ثبت وضعیت),بارنامه/CMR/AWB (on board)؛ گواهی مبدأ؛ اظهار/کوتاژ گمرکی؛ بیمه‌نامه حمل؛ مشخصات Incoterms؛ شناسه مجوز,status SHIPPED + بسته اسناد حمل (برای انتقال به مقصد),B/L یا AWB یا CMR با یادداشت on board؛ گواهی مبدأ؛ بیمه‌نامه؛ کوتاژ؛ تطبیق فاکتور/پکینگ/بارنامه (TRD-003),حمل‌کننده و کشور ترانزیت سندبازاری؛ کالای مجاز (نه دوکاربرده بدون مجوز)؛ **عدم استفاده از شرکت‌های حمل مسدود (IRISL و مشمولان Annex EU 267/2012)**؛ مقصد مجاز,پارامتر پیشنهادی FIN: ۳۰ روز از تأیید بازرسی برای بارگیری (قابل تغییر در قرارداد)؛ عدم بارگیری → DISPUTE یا REFUND توافقی,→ DELIVERY (بارگیری)؛ → DISPUTE (تأخیر/نقض)؛ → REFUND (فسخ توافقی پیش از حمل),رد گمرک مبدأ/مقصد؛ تحریم/توقف مسیر؛ امتناع حمل‌کننده → DISPUTE (بررسی) یا CANCELLED→REFUND در صورت غیرممکن‌بودن ادامه,فسخ توافقی پیش از حمل → REFUND منهای هزینه‌های قابل‌اثبات؛ **توقف مسیر به دلیل تحریم → REFUND کامل** (بدون جریمه؛ تأیید LEG),تأخیر بیش از مهلت؛ مغایرت اسناد با کالا (اظهارشده)؛ رد گمرکی → DISPUTE,"L05,L12",AUD-005: شماره بارنامه، تاریخ، گمرک، بیمه,"G13,G14,G15",TRD-003 (Incoterms/فورواردر)؛ LEG-003 (شرط حمل)؛ قوانین گمرک مبدأ/مقصد؛ EU 267/2012 (حمل مسدود),INS-001: بیمه‌نامه حمل مطابق Incoterms (ذی‌نفع طبق قرارداد) — برای کالای مشمول، پیش‌نیاز ورود به DELIVERY,بدون بیمه‌نامه معتبر برای کالای مشمول → ورود به DELIVERY مجاز نیست
DELIVERY,Delivery,تحویل (ورود/رسید مقصد),0,ثبت شواهد تحویل/ورود به مقصد (POD، اظهار گمرک مقصد، نتیجه ترکینگ),حمل‌کننده/فورواردر (شواهد) + گمرک مقصد + پلتفرم (ثبت),POD/رسید تحویل؛ اظهارنامه ورود مقصد؛ ترکینگ؛ نتیجه بازرسی گمرکی مقصد (در صورت),status DELIVERED + خلاصه اسناد مقصد,POD/رسید؛ اظهارنامه ورود؛ ترکینگ؛ عکس/گزارش پذیرش انبار مقصد (فیلدها از TRD-006/TRD-003),مقصد مجاز (امارات مسدود)؛ تطبیق با Incoterms؛ ورود فقط پس از ترخیص/تأیید گمرکی مقصد,پارامتر پیشنهادی FIN: تحویل تا ۷ روز کاری پس از ETA (ترکینگ)؛ عدم تحویل → DISPUTE,→ ACCEPT (تحویل سالم)؛ → DISPUTE (گم‌شدن/آسیب/نقص/تأخیر حمل),گم‌شدن/آسیب/نقص → DISPUTE + اقدام بیمه حمل (INS)؛ رد گمرکی مقصد → DISPUTE/REFUND بر اساس علت,عدم تحویل در مهلت (با شواهد) → REFUND کامل؛ آسیب جزئی → DISPUTE (کاهش قیمت/تعمیر/جایگزینی),آسیب/نقص/کمیّت در زمان تحویل (POD + گزارش) → DISPUTE؛ اختلاف روی علت → شواهد حمل و بیمه,L06,AUD-006: POD، تاریخ، گمرک، تریپ,"G16,G17",LEG-003 (نحوه تحویل/رسید)؛ INCOTERMS؛ قوانین گمرک مقصد,فعال‌سازی احتمالی مطالبه بیمه حمل (در صورت خسارت)؛ سند خسارت برای DISPUTE,«تحویل» فقط با شواهد؛ تأیید خریدار در ACCEPT است نه DELIVERY
ACCEPT,Accept,پذیرش (یا پذیرش ضمنی),0,ورود به وضعیت تحویل‌شده؛ شروع پنجره پذیرش خریدار (زمان‌بندی طبق قرارداد),خریدار (تصریح) + سیستم (پذیرش ضمنی/مرور زمان),اعلام پذیرش/عدم پذیرش؛ گزارش بازرسی مقصد (در صورت)؛ اسناد POD,پذیرش (بازکردن مسیر RELEASE) یا اعتراض مستند (مسیر DISPUTE),پذیرش صریح یا گذشت پنجره (deemed acceptance)؛ گزارش بازرسی مقصد؛ ثبت‌های AUD-007,فقط خریدارِ ثبت‌شده در سفارش؛ شرط deemed acceptance باید در LEG-003/قرارداد باشد؛ اعتراض فقط با شاهد,پارامتر پیشنهادی FIN: ۵ روز کاری پنجره پذیرش (LEG تصمیم نهایی)؛ پس از آن پذیرش ضمنی,→ RELEASE (پذیرش/ضمنی)؛ → DISPUTE (اعتراض مستند),اعتراض خریدار → DISPUTE (وجه در HOLD می‌ماند)؛ هیچ آزادسازی پیش از خاتمه اعتراض,پس از DISPUTE/RESOLUTION در صورت رد کیفیت مستند → REFUND (کل یا جزئی طبق حکم),هر اعتراض رسمی خریدار در پنجره (کیفیت/کمیّت/زمان/اسناد) با شاهد اولیه → DISPUTE؛ اعتراض بدون شاهد → رد (ثبت در AUD),L07,AUD-007: زمان پنجره، اقدام، نتیجه,G18,LEG-003 (شرایط پذیرش/کمیّت)؛ LEG-005 (حوزه قضایی اختلاف),در مدل پرداخت معوق (M04/M08): بیمه اعتبار صادراتی می‌تواند مرجع ریسک عدم‌پذیرش باشد (پیش‌نیاز: FIN-001 M12),پذیرش ضمنی = عبور زمان؛ هر اعتراض پس از پایان پنجره خارج از ماشین (مسیر حقوقی)
RELEASE,Release,آزادسازی به فروشنده,1,ACCEPT یا حکم RESOLUTION به‌نفع فروشنده؛ صدور دستور پرداخت امین,امین/سیستم + بانک (اجرای پرداخت)؛ FIN (ثبت تسویه),دستور پرداخت امین (مطابق توافق‌نامه امانی)؛ تأیید سندبازار نهایی؛ اطلاعات حساب فروشنده؛ کد تسویه,واریز به فروشنده + تسویه کارمزدها + ثبت وضعیت «رفع تعهد ارزی» (هم‌راستا با مسیر مجاز),تأییدیه بانک پرداخت؛ سند آزادسازی؛ فاکتور نهایی؛ کوتاژ/مدارک نیما (در مسیر مجاز),آزادسازی = تنها با دستور امین؛ **مدل تأییدشده LEG/CMP**؛ حساب فروشنده غیرمسدود؛ سندبازار مجدد (لغو تحریم جدید)؛ کارمزد طبق قرارداد,پارامتر پیشنهادی FIN: پرداخت T+2 روز کاری پس از پذیرش؛ شکست پرداخت → retry (حداکثر ۲ بار)؛ ۳ شکست → DISPUTE (با قفل وجه),→ پایانه (released)؛ شکست → retry در RELEASE یا → DISPUTE (خطای بانک/مسیر),رد پرداخت بانک/مسدودی حساب فروشنده/تغییر سندبازار → retry یا DISPUTE؛ هیچ آزادسازی ناقص/بدون تسویه,پس از آزادسازی فقط از مسیر حقوقی (خارج از ماشین)؛ خطای سامانه‌ای (واژگونی پرداخت بدون مبنا) → اصلاح با تأیید MGT+LEG,ادعای پس از آزادسازی = خارج از ماشین (مرجع LEG-005)؛ ماشین در این نقطه می‌بندد,"L08,L10,L12",AUD-008: دستور امین، مرجع بانک، زمان، کارمزد,"G1,G18,G19,G20",LEG-001 (مسئولیت امانت)؛ LEG-003؛ دستورالعمل امانی؛ تأیید LEG/CMP,در صورت پوشش بیمه اعتبار برای معوق: هماهنگی با صندوق پیش از تسویه (سند),پایانه ماشین؛ تسویه کارمزد/FX/مالیات = مالک FIN-003
REFUND,Refund,بازگشت وجه به خریدار,1,تصمیم REFUND از هر حالت پیش از RELEASE؛ حکم DISPUTE/RESOLUTION؛ انقضا (EXPIRED→REFUND)؛ لغو (CANCELLED→REFUND),امین/سیستم + بانک؛ CMP (سندبازار مقصد بازگشت),دستور بازگشت؛ حساب مبدأ خریدار؛ کد علت (K1..K7)؛ اسناد تصمیم؛ در صورت جزئی: محاسبه سهم,بازگشت وجه + بستن سفارش + ثبت علت,تأییدیه بانک بازگشت؛ قرارداد/حکم؛ کد علت؛ محاسبات منصفانه,فقط با علت مستند؛ **بازگشت به حساب مبدأ و ذی‌نفع اصلی**؛ هیچ مسیر بازگشت غیرمجاز؛ هیچ «جبران» با ارز/مکان دیگر بدون تأیید LEG/CMP,پارامتر پیشنهادی FIN: T+5 روز کاری پس از دستور؛ شکست → retry (۲ بار)؛ ۳ شکست → گزارش MGT + قفل دستی,→ پایانه (refunded)؛ در REFUND جزئی → RESOLUTION (تسویه باقی) یا RELEASE (سهم فروشنده),شکست بانک/معتبر نبودن حساب مقصد → retry؛ سپس قفل دستی (بدون جابه‌جایی) + گزارش,K1 لغو پیش از ورود؛ K2 رد انطباق؛ K3 فسخ توافقی؛ K4 fail بازرسی؛ K5 عدم تحویل؛ K6 حکم RESOLUTION؛ K7 انقضای HOLD/VERIFY,اختلاف روی «میزان» بازگشت (جزئی) → RESOLUTION؛ بازگشت فقط پس از خاتمه اختلاف,"L09,L13",AUD-009: علت، مرجع بانک، زمان، کد,"G21,G22",LEG-003 (مرجوعی/فسخ)؛ LEG-001؛ دستورالعمل امانی,در خسارت بیمه‌شده: subrogation/هماهنگی با بیمه‌گر پیش از بازگشت (سند),REFUND جزئی: از مسیر RESOLUTION با تسویه دوبخشی
DISPUTE,Dispute,اختلاف (قفل وجه),0,اعتراض رسمی هر طرف (کیفیت/کمیّت/تأخیر/اسناد/نقص تحویل) با شاهد اولیه؛ از INSPECT/SHIP/DELIVERY/ACCEPT یا شکست RELEASE,طرفین + پلتفرم/داور مرحله اول + INSP (نظر فنی)؛ LEG (در صورت ارجاع),درخواست داوری + شواهد (گزارش بازرسی/POD/قرارداد/مکاتبات) + مبلغ در اختلاف,پرونده اختلاف + نتیجه مرحله: حل، ارجاع، توافق,گزارش بازرسی؛ POD؛ قرارداد؛ مکاتبات؛ گزارش تطبیق اسناد؛ رأی/توافق,فقط با قفل کامل وجه؛ هیچ آزادسازی تا خاتمه؛ داوری طبق شرط LEG-003/005؛ پلتفرم داور مرحله اول است نه مرجع نهایی,پارامتر پیشنهادی FIN: مذاکره ۱۰ روز کاری؛ سپس ارجاع به RESOLUTION؛ عدم پاسخ = deemed rejection (ثبت),→ RESOLUTION (بدون توافق)؛ → RELEASE (توافق/پذیرش)؛ → REFUND (توافق/بازگشت),عدم ارائه شاهد از مدعی → بستن اعتراض (بازگشت به مسیر قبلی)؛ امتناع از پاسخ → deemed؛ هر دو → RESOLUTION,توافق بازگشت (کل/جزئی) → REFUND (با سهم‌بندی),ورود: ادعا + شاهد اولیه + کد موضوع؛ آستانه/فرم داوری = پیشنهاد LEG (خارج از این تسک),"L14,L15",AUD-010: درخواست، شواهد، مذاکرات، نتیجه,G23,LEG-003 (شرایط اختلاف)؛ LEG-005 (داوری/قانون حاکم)؛ CMP (در صورت ادعای تقلب),بیمه حمل/اعتبار: مرجع فنی خسارت؛ سند subrogation در صورت وجود,وجه در HOLD باقی می‌ماند؛ هیچ «تسویه پنهان» یا جبران خارجی مجاز نیست
