record_id,dimension_id,group,field_name,question,evidence_state,observed_fact,evidence_url,evidence_type,observed_at,region,access_mode,confidence,actor,input,output,page_module,entity,event,state,error_exception,document,personal_data,risk,handoff,inference,gap_reason,next_method,product_implication,metric_name,metric_value,metric_unit,metric_currency,metric_period,metric_territory,metric_classification,metric_method,metric_publisher,source_title,source_publication_date
D00.1,D00,D00 Positioning,positioning_audience_geography,"What is the platform position, audience, geography, category breadth and proposition?",observed,IndiaMART is a business matchmaking venue; it is not party to buyer-seller negotiations or sale agreements.,https://www.indiamart.com/terms-of-use.html,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,IndiaMART is a business matchmaking venue; it is not party to buyer-seller negotiations or sale agreements.,https://www.indiamart.com/terms-of-use.html,Positioning Audience Geography,positioning_audience_geography.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",buyers claimed,23.4 crore,buyers,not applicable,corporate snapshot,India,audience claim,publisher-stated,IndiaMART,Corporate homepage,dynamic
D01.1,D01,D01-D10 Discovery,home_page,What does the guest homepage expose?,observed,"Homepage exposes Post Requirement, Start Selling, sign-in and category/product discovery.",https://www.indiamart.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,"Homepage exposes Post Requirement, Start Selling, sign-in and category/product discovery.",https://www.indiamart.com/,Home Page,home_page.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D02.1,D02,D01-D10 Discovery,global_navigation,Are core destinations visible?,observed,"Public evidence indicates this capability/policy context, but authenticated execution was not performed.",https://www.indiamart.com/terms-of-use.html,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",medium,buyer/seller/platform as applicable,dimension-specific business intent,"Public evidence indicates this capability/policy context, but authenticated execution was not performed.",https://www.indiamart.com/terms-of-use.html,Global Navigation,global_navigation.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D03.1,D03,D01-D10 Discovery,search_entry,What search scopes and input constraints are visible?,observed,Homepage provides category discovery and AI visual search; live keyword query was not run.,https://www.indiamart.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,Homepage provides category discovery and AI visual search; live keyword query was not run.,https://www.indiamart.com/,Search Entry,search_entry.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D04.1,D04,D01-D10 Discovery,search_results,What result layout and count appear for a reproducible query?,observed-not-found,No sufficient public guest evidence found for this dimension.,https://www.indiamart.com/robots.txt,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",medium,buyer/seller/platform as applicable,dimension-specific business intent,No sufficient public guest evidence found for this dimension.,https://www.indiamart.com/robots.txt,Search Results,search_results.evaluated,public -> observed-not-found,Guest/auth/transaction or technical test was unavailable for this field.,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,Guest/auth/transaction or technical test was unavailable for this field.,Use authorized manual/authenticated testing or current official help.,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D05.1,D05,D01-D10 Discovery,category_taxonomy,Is a category hierarchy visible?,observed,Homepage exposes extensive product/service category links.,https://www.indiamart.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,Homepage exposes extensive product/service category links.,https://www.indiamart.com/,Category Taxonomy,category_taxonomy.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",products/services claimed,13.2 crore,products/services,not applicable,corporate snapshot,India,catalog claim,publisher-stated,IndiaMART,Corporate homepage,dynamic
D06.1,D06,D01-D10 Discovery,filters,Are filters evidenced?,observed,BuyLead matching is filtered by IndiaMART and shared with relevant suppliers.,https://help.indiamart.com/knowledge-base/buy-lead/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,BuyLead matching is filtered by IndiaMART and shared with relevant suppliers.,https://help.indiamart.com/knowledge-base/buy-lead/,Filters,filters.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D07.1,D07,D01-D10 Discovery,sorting,Which sort controls and defaults exist?,observed-not-found,No sufficient public guest evidence found for this dimension.,https://www.indiamart.com/terms-of-use.html,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",medium,buyer/seller/platform as applicable,dimension-specific business intent,No sufficient public guest evidence found for this dimension.,https://www.indiamart.com/terms-of-use.html,Sorting,sorting.evaluated,public -> observed-not-found,Guest/auth/transaction or technical test was unavailable for this field.,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,Guest/auth/transaction or technical test was unavailable for this field.,Use authorized manual/authenticated testing or current official help.,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D08.1,D08,D01-D10 Discovery,listing_card,What appears on a guest product card?,observed,"Supplier catalog cards expose product, INR price, MOQ, Get Best Quote and Call actions.",https://www.indiamart.com/bestdeals-supplies/products-and-services.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,"Supplier catalog cards expose product, INR price, MOQ, Get Best Quote and Call actions.",https://www.indiamart.com/bestdeals-supplies/products-and-services.html,Listing Card,listing_card.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
D09.1,D09,D01-D10 Discovery,product_detail,Which product fields/actions appear?,observed,"Sample catalog shows price, MOQ, specifications, customization and origin.",https://www.indiamart.com/bestdeals-supplies/products-and-services.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; India-centric platform,"guest; no registration, requirement, lead consumption, order or payment",high,buyer/seller/platform as applicable,dimension-specific business intent,"Sample catalog shows price, MOQ, specifications, customization and origin.",https://www.indiamart.com/bestdeals-supplies/products-and-services.html,Product Detail,product_detail.evaluated,public -> recorded,Authenticated/regional edge cases not executed,No real document generated; public pages/policies only,No personal data submitted; privacy implications recorded,India-centric lead marketplace; do not infer cross-border transaction capability,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve regional scope, provenance, state, exceptions and data risk",,,,,,,,,,,
