method_id,method_en,method_fa,payer,payee,financial_intermediary,risk_transfer_point,docs_required,settlement_time,cost,reversal_risk,fraud_risk,sanctions_compliance_risk,inspection_delivery_link,buyer_suitability,seller_suitability,platform_suitability,d1_seller_payment_assurance,d2_low_cost,d3_fast_settlement,d4_buyer_protection,d5_integrity_anti_fraud,d6_compliance_availability,d7_inspection_delivery_link,d8_iran_legal_basis,basis,citations
M01,TT Advance Payment (Telegraphic Transfer),تله‌گرافیک ترانسفر / پیش‌پرداخت بانکی,خریدار خارجی,صادرکننده ایرانی,بانک‌های خریدار و فروشنده + بانک واسط در مسیر,بلافاصله پیش از حمل (پول قبل از کالا),فاکتور تجاری؛ قرارداد فروش/پیش‌فاکتور؛ (طبق نیاز بانک مقصد)؛ کوتاژ گمرکی برای رفع تعهد ارزی,۱ تا ۵ روز کاری در شبکه بین‌بانکی؛ در مسیر ایران ممکن است چند روز بیشتر؛ رفع تعهد ارزی صادرکننده تا ۴ ماه (مصوبه ۱۳۹۷),کارمزد حواله بانکی حدود ۲۰ تا ۱۰۰ دلار + کارمزد بانک واسط + اسپرد تبدیل ارز؛ بدون کارمزد فینانس مستقل,بالا برای خریدار (پیش‌پرداخت بدون وثیقه)؛ برای فروشنده برگشت وجه تقریباً صفر پس از وصول,متوسط: جعل فاکتور/مقصد حساب توسط طرف مقابل؛ ریسک شناخته‌نشدن هویت دریافت‌کننده,متوسط رو به بالا: وابسته به کشور/بانک مسیر؛ بانک‌های تحریم‌شده (SDN/EU) ممنوع؛ بانک‌های آمریکایی/اتحادیه اروپا در برابر ایران محدود؛ مسیرهای بدون Nexus (ترکیه/عمان/چین/هند/روسیه) در صورت طرف غیرمسدود مجاز است مشروط به سند واقعی,ضعیف: پیش‌پرداخت ربطی به رویداد بازرسی ندارد؛ فقط قفل دستی توسط پلتفرم,ضعیف برای خریدار (ریسک کامل),قوی برای فروشنده,خنثی: پلتفرم فقط ثبت/راهنمای مسیر؛ درگاه داخلی نیست,5,5,4,1,3,3,2,5,روش پایه؛ مبنای ریسک: پرداخت بی‌قید و شرط قبل از حمل؛ هزینه از تعرفه بانکی؛ زمان تخمینی؛ انطباق به مسیر بستگی دارد,"S5,S6,S7,S8,S13,S20,S21"
M02,LC Sight Unconfirmed,اعتبار اسنادی دیداری (بدون تأیید),خریدار خارجی (متقاضی),صادرکننده ایرانی (ذی‌نفع),بانک گشاینده + بانک ابلاغ‌کننده + بانک تعیین‌شده,مطابق UCP600 ماده ۷: با ارائه مدارک منطبق (complying presentation) به بانک معین/گشاینده؛ ریسک بانک گشاینده نزد فروشنده می‌ماند,فاکتور تجاری؛ بارنامه کامل/مقاصد؛ بیمه‌نامه حمل؛ گواهی مبدأ؛ پکینگ لیست؛ گواهی بازرسی (در صورت شرط)؛ سایر اسناد مطابق شرط LC,بررسی اسناد حداکثر ۵ روز بانکی (UCP600 ماده ۱۴b) + ارسال و تسویه؛ عملاً ۷ تا ۲۰ روز کاری پس از ارائه اسناد,صدور ۱٫۲۵٪ هر ۳ ماه یا بخشی از آن (تعرفه CIB)؛ ابلاغ/اصلاحیه ۱۰ تا ۵۰ دلار؛ کارمزد اسناد ۲۰ تا ۱۰۰ دلار مورد/کاهش؛ مجموع ۰٫۵ تا ۳ درصد متعارف,متوسط: عدم تطبیق اسناد → رد و اصلاح مجدد؛ خریدار می‌تواند اسناد را نپذیرد/اعتراض کند؛ بازگشت وجه پس از پرداخت متکی به اختلاف تجاری است,کم تا متوسط: بررسی سخت‌گیرانه اسناد توسط بانک‌ها (استاندارد بین‌المللی بانکداری)؛ تقلب اسنادی (فاکتور/بارنامه جعلی) همچنان ممکن است,بالا: بانک‌های آمریکایی ممنوع (ITSR)؛ بانک‌های اتحادیه اروپا تحت رژیم ۲۶۷/۲۰۱۲ محدود؛ بانک‌های ایرانی مسدود/خارج از سوئیفت؛ بانک‌های ترکیه/عمان/چین/هند/روسیه بسته به سیاست سانکشن داخلی، با ریسک ثانویه آمریکا,قوی (در صورت شرط گواهی بازرسی در LC): اسناد می‌توانند خروجی INSP باشند؛ زمان‌بر,متوسط: خریدار با تطبیق اسناد محافظت می‌شود اما هیچ مسیر بازگشت وجه معمولی ندارد,قوی: تضمین بانک گشاینده؛ اما ریسک کشور/بانک گشاینده باقی است,متوسط: اتصال اسنادی و شفافیت خوب؛ اما سرعت کم و پیچیدگی بالا,4,2,3,3,4,2,3,4,اساس حقوقی UCP600 مواد ۲/۷/۱۴؛ هزینه/زمان از قواعد UCP و تعرفه‌های بانکی؛ انطباق از ITSR/EU/SWIFT؛ اتصال به بازرسی با شرط گواهی بازرسی,"S1,S5,S6,S7,S8,S20,S21"
M03,LC with Confirmation,اعتبار اسنادی تأییدشده,خریدار خارجی (متقاضی) + بانک تأییدکننده (از نظر تعهد),صادرکننده ایرانی (ذی‌نفع),بانک گشاینده + بانک تأییدکننده + بانک ابلاغ‌کننده,مطابق UCP600 ماده ۸: تعهد قطعی و اضافی بانک تأییدکننده از لحظه افزودن تأیید؛ ریسک از فروشنده به تأییدکننده منتقل می‌شود,همان اسناد LC + شرط تأیید (SWIFT فیلد 49: CONFIRM/MAY ADD)؛ گواهی بازرسی در صورت شرط,بررسی ۵ روز بانکی + مسیر تأیید؛ عملاً ۷ تا ۲۰ روز کاری؛ در صورت تأیید، پرداخت تضمینی‌تر اما پروسه طولانی‌تر,هزینه LC + کارمزد تأیید: ۰٫۲۵٪ هر ۳ ماه برای بانک با رتبه BBB- یا بالاتر و ۲٪ هر ۳ ماه برای BB+ یا پایین‌تر (تعرفه CIB)؛ مجموع معمولاً ۱ تا ۴ درصد,متوسط به بالا: تأییدکننده‌ها معمولاً برای ذی‌نفع ایرانی تأیید نمی‌دهند؛ در صورت نبود تأیید، همان ریسک LC عادی,کم: افزوده‌شدن بانک مستقل، بازرسی اسناد دوگانه؛ تقلب اسنادی همچنان ممکن,بسیار بالا: تأییدکنندگان غربی (آمریکا/اتحادیه اروپا) عملاً از ذی‌نفع ایرانی امتناع می‌کنند؛ تأییدکنندگان کشور ثالث ممکن اما با ریسک ثانویه؛ عملاً کم‌یاب,قوی (شروط اسنادی بازرسی),متوسط رو به بالا برای خریدار (هزینه بیشتر),بسیار قوی در صورت تأیید واقعی؛ اما دسترسی به تأییددهنده در عمل محدود,پایین: در عمل برای صادرات ایران کم‌در دسترس,5,1,2,3,4,2,3,2,اساس UCP600 ماده ۸؛ هزینه از تعرفه تأیید CIB؛ محدودیت تأیید تحت ITSR/EU و سیاست بانک‌ها,"S1,S5,S7,S20,S21"
M04,Deferred Payment (Usance LC / Open Account),پرداخت معوق (اعتبار اسنادی مدت‌دار / حساب باز),خریدار خارجی,صادرکننده ایرانی,بانک گشاینده (برای usance LC)؛ بدون بانک (برای حساب باز),مطابق UCP600 ماده ۷c (تعهد پرداخت در سررسید) برای LC معوق؛ برای حساب باز ریسک پس از تحویل نزد فروشنده می‌ماند,قرارداد با شرط سررسید؛ برات/تعهد پرداخت معوق (برای LC)؛ اسناد حمل؛ فاکتور؛ گواهی کیفیت/بازرسی؛ اسناد اعتبارسنجی خریدار (برای بیمه/تضمین در صورت وجود),سررسید تجاری ۳۰ تا ۱۸۰ روز پس از تاریخ مقرر؛ برای LC معوق پرداخت در سررسید؛ برای حساب باز طبق قرارداد,برای LC معوق: کارمزد مدت‌دار ۰٫۲٪ هر ۳ ماه + هزینه‌های LC؛ برای حساب باز: هزینه بانکی کم اما هزینه سرمایه/ریسک در قیمت,بالا: برای فروشنده ریسک نکول در سررسید؛ برای خریدار هزینه مالی؛ امکان اختلاف کیفیت با انکار تعهد,متوسط: ریسک فاکتور/سند جعلی؛ وابسته به اعتبارسنجی,بالا (مانند M02)؛ برای حساب باز بدون شرایط تحریمی کمتر اما بدون هیچ تضمین بانکی,متوسط: گواهی بازرسی می‌تواند شرط سررسید/آزادسازی باشد,قوی برای خریدار (اعتبار فروشنده),ضعیف بدون پشتوانه؛ با usance LC متوسط,خنثی تا متوسط: نیاز به ابزار پشتیبان (بیمه/تضمین) برای پلتفرم,2,2,1,3,3,2,2,3,دو حالت (LC معوق طبق UCP ۷c و حساب باز)؛ زمان بر اساس سررسید تجاری؛ هزینه از تعرفه بانکی؛ ریسک از قواعد و رتبه اعتباری,"S1,S5,S7,S20,S21"
M05,Platform Escrow (Bank Amanat / Third-party),پرداخت امانی (اسکرو پلتفرم / حساب امانی),خریدار خارجی,صادرکننده ایرانی,پلتفرم + بانک نگهدارنده (حساب امانی/آمین) یا ارائه‌دهنده اسکرو خارجی,طبق قرارداد پایه و دستور امین: با تأیید شرایط (بازرسی/تحویل/پذیرش) وجه آزاد می‌شود؛ ریسک تضمین به امین/پلتفرم منتقل می‌شود,قرارداد پایه (فروش)؛ توافق‌نامه امانی؛ اطلاعات هویتی پرداخت‌کننده و متعهد (دستورالعمل امانی ماده ۱۵)؛ اسناد حمل/بازرسی/پذیرش؛ دستور پرداخت امین,نگهداری وجوه تا رفع شرایط + ۳ تا ۷ روز کاری پس از دستور پرداخت؛ در صورت اختلاف، دوره حل اختلاف متغیر,کارمزد اسکرو متعارف ۱ تا ۳ درصد (مثل Trade Assurance ۱–۲٪ سقف ۱۰۰ دلار) + کارمزد بانک/پلتفرم؛ تعرفه دقیق حساب امانی بانکی طبق دستورالعمل امانی (مشاهده مستقیم نشد),متوسط: به شرایط آزادسازی و رویه اختلاف بستگی دارد؛ ریسک «گیر کردن وجوه» در اختلاف؛ ریسک نقدشوندگی پلتفرم,متوسط: تقلب از طریق اسناد جعلی/شاهد جعلی تحویل؛ کنترل پلتفرم روی مدارک,متوسط: اسکرو خارجی (مثل escrow.com) ایران را جزو کشورهای ممنوع اعلام کرده؛ اسکرو داخلی ریالی تحت دستورالعمل امانی بانک مرکزی (آزمایشی تا پایان ۱۴۰۴) ممکن است؛ برداشت ارزی فرامرزی نیاز به سازوکار جدا دارد,بسیار قوی: طراحی‌شده برای گیت‌های بازرسی/تحویل/پذیرش (مطابق نیاز FIN-002),قوی برای خریدار (نگهداشت وجه تا تأیید),متوسط: امنیت بالاتر اما کارمزد و قفل وجوه تا تأیید,بسیار قوی: بهترین ابزار اجرای state machine وجه؛ نیازمند مجوز/قرارداد بانکی درست,3,3,3,4,3,2,5,4,اساس: دستورالعمل ناظر بر حساب امانی بانک مرکزی (مصوب ۱۶/۰۶/۱۴۰۴، آزمایشی ۶ ماه)؛ عدم‌پشتیبانی اسکرو خارجی از ایران؛ هزینه از منبع ثانویه رقیب (PACK-RND-002),"S12,S14,S16,S20"
M06,CAD Cash Against Documents,نقد در برابر اسناد (CAD),خریدار خارجی,صادرکننده ایرانی,بانک وصول‌کننده/حامل اسناد (یا مستقیم بدون بانک در نوع غیررسمی),در لحظه پرداخت وجه در برابر تحویل اسناد اصلی؛ بدون تعهد بانکی، فقط وابستگی به رویه حمل اسناد,فاکتور تجاری؛ پکینگ لیست؛ بارنامه/CMR/AWB؛ گواهی مبدأ؛ گواهی بازرسی (اختیاری)؛ کوتاژ گمرکی,پرداخت در برابر ارائه اسناد: ۵ تا ۱۵ روز کاری (پست/کوریر + بررسی بانکی)، واریز ۱ تا ۳ روز,کم: کارمزد وصولی حدود ۰٫۵ تا ۱ درصد یا کمتر + هزینه کوریر؛ در نوع غیررسمی فقط هزینه کوریر,متوسط رو به بالا: خریدار می‌تواند از پذیرش اسناد امتناع کند (به‌ویژه نوع غیررسمی) و کالا در مقصد معطل بماند؛ فروشنده کنترلی بر اسناد پس از ارسال ندارد,متوسط: تقلب از طریق اسناد جعلی؛ عدم بررسی محتوایی توسط بانک در نوع غیررسمی,متوسط: خود پرداخت یک ترانسفر بانکی است؛ بانک‌های تحریم‌شده ممنوع؛ نوع غیررسمی فاقد نظارت و ردپای بانکی (ریسک انطباق بالاتر),متوسط: اسناد می‌توانند شامل گواهی بازرسی باشند؛ ولی رهاسازی کالا قبل از پرداخت در نوع غیررسمی رخ می‌دهد,متوسط برای خریدار (پرداخت قبل از دیدن اسناد اصلی),قوی برای فروشنده,متوسط: ثبت اسناد و گیت دستی؛ در نوع غیررسمی هیچ نقش پلتفرمی ندارد,3,4,3,2,3,3,3,4,تعریف و ریسک از URC522 و رویه متعارف؛ هزینه تخمینی از تعرفه بانکی؛ نوع غیررسمی (CAD/TT) فاقد پوشش URC و ثبت شده به‌عنوان پرریسک (نه ممنوع),"S2,S13,S20,S21"
M07,DP Documents against Payment,اسناد در برابر پرداخت (D/P),خریدار خارجی,صادرکننده ایرانی,بانک ارسال‌کننده (Remitting) + بانک وصول‌کننده (Collecting) طبق URC522,پرداخت نقدی در برابر تحویل اسناد (URC522)؛ بدون تعهد پرداخت بانک؛ ریسک نکول خریدار با فروشنده,دستور وصول (Collection Instruction) متصل به هر وصولی (URC522 ماده ۴)؛ فاکتور؛ بارنامه؛ پکینگ؛ گواهی مبدأ؛ گواهی بازرسی در صورت شرط,ارسال کوریر/سوئیفت ۳ تا ۱۰ روز + بررسی و پرداخت آنی؛ کل ۷ تا ۲۰ روز کاری,کارمزد وصولی: حدود ۰٫۷ تا ۱ درصد در ماه (تعرفه Nations Trust) + هزینه‌های ثابت سوئیفت/کوریر,متوسط: خریدار می‌تواند از اخذ اسناد خودداری کند (مسئولیت کالا/دموراژ؛ طبق URC522 ماده ۱۴ بانک‌ها وظیفه نگهداری/بیمه کالا ندارند),متوسط: تقلب اسنادی؛ بانک‌ها فقط تطابق شکلی را بررسی می‌کنند,متوسط تا بالا: وصولی از طریق بانک‌های ایرانی/مقصد؛ بانک‌های وابسته به تحریم و سانکشن‌های ثانویه ممکن است امتناع کنند,متوسط: گواهی بازرسی می‌تواند جزو اسناد باشد؛ اما پرداخت مستقل از بازرسی فیزیکی است,متوسط: خریدار بدون تضمین کیفیت/تحویل پرداخت می‌کند,متوسط: کنترل اسناد تا پرداخت؛ بدون تعهد بانکی,خنثی تا متوسط: ثبت اسناد و وصول از طرف بانک‌ها؛ نیاز به هماهنگی بانکی,3,4,3,2,3,2,3,4,اساس URC522 (به‌ویژه مواد ۴/۷/۱۴)؛ هزینه از تعرفه بانکی؛ زمان تخمینی؛ ریسک از قواعد,"S2,S7,S20,S21"
M08,DA Documents against Acceptance,اسناد در برابر پذیرش برات (D/A),خریدار خارجی (پذیرنده برات),صادرکننده ایرانی,بانک ارسال‌کننده + بانک وصول‌کننده + پذیرنده (خریدار),با پذیرش برات توسط خریدار اسناد تحویل می‌شود (URC522 ماده ۷b)؛ ریسک کامل پرداخت در سررسید نزد فروشنده,برات/سفته پذیرفته‌شده؛ اسناد حمل؛ فاکتور؛ پکینگ؛ گواهی مبدأ؛ قرارداد فروش؛ دستور وصول,پذیرش در ارائه اسناد (۳ تا ۱۰ روز) + سررسید برات ۳۰ تا ۱۸۰ روز؛ کل ۳۵ تا ۲۰۰ روز,کارمزد وصولی حدود ۰٫۷ تا ۱ درصد در ماه + هزینه برات/دستور وصول؛ هزینه تامین مالی پذیرش,بالا برای فروشنده: نکول در سررسید؛ خریدار وجه به‌موقع ندهد و اسناد را در اختیار گرفته باشد,متوسط: تقلب از طریق اسناد جعلی/برات بی‌پشتوانه,متوسط تا بالا: همان محدودیت بانک/مسیر + عدم هرگونه تضمین بانکی,ضعیف: بعد از پذیرش، گیت بازرسی عملاً بی‌اثر است مگر در قرارداد,قوی برای خریدار (اعتبار کامل فروشنده),ضعیف برای فروشنده؛ فقط برای خریداران با اعتبار بالا و با بیمه/ضمانت پشتیبان,پایین: پلتفرم نمی‌تواند ریسک نکول را مدیریت کند مگر با بیمه/تضمین,1,3,1,4,3,2,2,3,اساس URC522 ماده ۷b؛ سررسید تجاری؛ ریسک از قواعد و عدم تضمین؛ نیاز به پشتیبان بیمه,"S2,S7,S13,S18,S20"
M09,Card & Gateway (Intl Visa/MC + Stripe/PayPal; Domestic Shaparak PSP; Mir/Shetab),کارت و درگاه (بین‌المللی/داخلی/میر-شتاب),خریدار خارجی (دارنده کارت/کیف پول),صادرکننده ایرانی (پذیرنده/ذی‌نفع),شبکه کارت (Visa/Mastercard)، ارائه‌دهنده درگاه بین‌المللی (Stripe/PayPal)؛ در ایران: شاپرک/PSP مجاز بانک مرکزی؛ روسیه-ایران: میر/شتاب,پرداخت لحظه‌ای در تسویه شبکه؛ خطر chargeback تا ۱۲۰ تا ۱۸۰ روز نزد فروشنده، ریسک شبکه/کشور بسته به کارت,هویت کارت/کیف پول؛ فاکتور سفارش؛ در داخلی: تراکنش خرید درگاه؛ برای صادرات: فاکتور و کوتاژ,تأیید فوری؛ تسویه T+2 تا T+5 برای کارت بین‌المللی؛ درگاه داخلی لحظه‌ای؛ میر-شتاب نوع خرده‌فروشی,کارمزد پذیرش ۲ تا ۴ درصد + اسپرد FX (در صورت در دسترس بودن)؛ درگاه داخلی: کارمزد توافقی (کم)، بدون FX,متوسط رو به بالا: chargeback/دعوای کارت؛ در صورت عدم در دسترس بودن، ته‌نشین‌نشدن وجوه؛ ریسک انجماد حساب پذیرنده,بالا: کلاهبرداری کارت/تست کارت/سرقت هویت؛ درگاه داخلی: ریسک سوءاستفاده از حساب,بسیار بالا: Visa/Mastercard/Stripe/PayPal برای ایران در دسترس نیست؛ فقط مسیر خرده‌فروشی میر-شتاب (فاز ۲ فعال، فاز ۳ در حال تکمیل ۲۰۲۶)؛ درگاه داخلی فقط ریالی و داخلی؛ درگاه خارجی برای فروشنده ایرانی ممنوع,متوسط: برای داخلی اتصال آسان به سفارش؛ برای ارزی عملاً ندارد,ضعیف برای خریدار در عدم‌دسترس بودن؛ در صورت کارت، حفاظت خریدار بالا,برای فروشنده: در دسترس بودن تقریباً صفر برای ارزی؛ ریسک chargeback بالا,پایین: پلتفرم نمی‌تواند کارت/درگاه بین‌المللی را برای تسویه ارزی صادراتی فعال کند؛ فقط کاربرد داخلی,3,2,4,4,2,1,2,4,دسترسی: سیاست Visa/Mastercard و Stripe/PayPal (منبع ثانویه)؛ مسیر میر-شتاب از اظهارات مقامات بانک مرکزی؛ درگاه داخلی و مقررات شاپرک/PSP؛ هزینه کارت تخمینی صنعت,"S10,S11,S12,S16,S17,S19"
M10,Staged / Milestone Payment (Platform),پرداخت مرحله‌ای (می‌لستون روی پلتفرم),خریدار خارجی,صادرکننده ایرانی,پلتفرم (نگهدارنده وجوه مرحله‌ای) + بانک عامل حساب امانی,هر مرحله با تحقق شواهد (بازرسی/تحویل/پذیرش) آزاد می‌شود؛ ریسک اجرا بین طرفین تقسیم می‌شود,قرارداد با برنامه پرداخت؛ شواهد هر مرحله (گزارش بازرسی INSP، بارنامه، تأیید پذیرش)؛ دستور پرداخت امین؛ اسناد فاکتور,چند مرحله‌ای: هر مرحله ۱ تا ۷ روز کاری؛ کل ممکن است از LC هم طولانی‌تر باشد؛ اما با گیت‌های قابل تأیید,کارمزد پلتفرم + کارمزد بانکی هر مرحله؛ در مجموع بالاتر از TT؛ قابل مقایسه با اسکرو (۱ تا ۳ درصد),متوسط: آزادسازی ناقص هر مرحله؛ ریسک اختلاف روی شواهد؛ برگشت مرحله آزادشده سخت,متوسط: تقلب در شواهد مرحله (گزارش بازرسی جعلی)؛ نیاز به تأیید مستقل,متوسط: مانند اسکرو؛ نیاز به مجوز/عملیات انطباق؛ در مسیرهای تحریمی همان محدودیت,بسیار قوی: دقیقاً منطبق با زنجیره بازرسی INSP/تحویل TRD-003؛ پایه FIN-002,قوی: خریدار ریسک را مرحله‌به‌مرحله می‌پذیرد,متوسط: فروشنده کمتر از TT اما بیشتر از OA,بسیار قوی: هسته معماری پلتفرم؛ نیازمند مجوز خدمات پرداخت/حساب امانی,3,3,2,4,3,2,5,4,بر اساس دستورالعمل امانی بانک مرکزی و قواعد FIN-002 (state machine)؛ هزینه مشابه اسکرو؛ ریسک از رویه‌های شاهد,"S14,S15,S16,S20"
