site,site_name,capability,dimension_id,evidence_state,observed_fact,source_report_url,source_data_url,source_evidence_url,accessed_at,confidence,limitations,evidence_coverage_flag,score_interpretation
alibaba,Alibaba.com,positioning,D00,observed,Alibaba.com is described in current Terms as a wholesale-only B2B marketplace for suppliers and professional resellers; Buyer Central presents global sourcing from discovery through delivery.,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003.md,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003/dimensions.csv,https://rulechannel.alibaba.com/icbu?type=detail&ruleId=2041&cId=1307#/rule/detail?ruleId=2041&cId=1307,2026-08-24,high,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",1,"evidence coverage only; not quality, market rank, or capability performance"
alibaba,Alibaba.com,discovery,D03,observed,Homepage exposes category/search discovery; Buyer guide instructs use of product or seller keywords.,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003.md,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003/dimensions.csv,https://buyer.alibaba.com/page/HowItWorks/Page.html,2026-08-24,high,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",1,"evidence coverage only; not quality, market rank, or capability performance"
alibaba,Alibaba.com,rfq,D28,observed,Buyer guide documents RFQ creation as specifying needs so sellers bid; form submission was not performed.,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003.md,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003/dimensions.csv,https://buyer.alibaba.com/page/HowItWorks/Page.html,2026-08-24,high,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",1,"evidence coverage only; not quality, market rank, or capability performance"
alibaba,Alibaba.com,verification,D51,observed,"Buyer guide distinguishes Gold Supplier, Verified Supplier and Trade Assurance Supplier, including third-party verification/assessment scope.",https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003.md,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003/dimensions.csv,https://buyer.alibaba.com/page/HowItWorks/Page.html,2026-08-24,high,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",1,"evidence coverage only; not quality, market rank, or capability performance"
alibaba,Alibaba.com,storefront,D22,observed,Seller offer includes a customized storefront and catalog setup; sample PDP links a supplier storefront.,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003.md,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003/dimensions.csv,https://seller.alibaba.com/us,2026-08-24,high,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",1,"evidence coverage only; not quality, market rank, or capability performance"
alibaba,Alibaba.com,messaging,D30,observed,"Buyer guide documents Contact Supplier, Message Center, app translation and video chat; no message was sent.",https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003.md,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003/dimensions.csv,https://buyer.alibaba.com/page/HowItWorks/Page.html,2026-08-24,high,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",1,"evidence coverage only; not quality, market rank, or capability performance"
alibaba,Alibaba.com,sample,D32,observed,Sample PDP exposes Get sample and a sample price; clicking/submitting was not performed.,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003.md,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003/dimensions.csv,https://www.alibaba.com/product-detail/STARLII-Low-Moq-Small-Mini-Beer_1601254764933.html,2026-08-24,high,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",1,"evidence coverage only; not quality, market rank, or capability performance"
alibaba,Alibaba.com,online-order,D34,observed,Sample PDP exposes Start order and Add to cart; order creation was not submitted.,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003.md,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003/dimensions.csv,https://www.alibaba.com/product-detail/STARLII-Low-Moq-Small-Mini-Beer_1601254764933.html,2026-08-24,high,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",1,"evidence coverage only; not quality, market rank, or capability performance"
alibaba,Alibaba.com,payment,D37,observed,"Buyer guide lists card, online transfer, wire transfer, Western Union, Apple Pay, Google Pay and Boleto; availability is regional.",https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003.md,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003/dimensions.csv,https://buyer.alibaba.com/page/HowItWorks/Page.html,2026-08-24,high,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",1,"evidence coverage only; not quality, market rank, or capability performance"
alibaba,Alibaba.com,protection,D38,observed,Trade Assurance is order protection for online orders paid through Alibaba.com; no classic neutral escrow hold/release was observed.,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003.md,https://github.com/amirreza-torbat/market/blob/arena/01a02d71-market/docs/units/RND/outbox/RND-003/dimensions.csv,https://buyer.alibaba.com/page/tradeassurance/buyer/story.html,2026-08-24,high,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",1,"evidence coverage only; not quality, market rank, or capability performance"
