site,record_id,dimension_id,group,field_name,question,evidence_state,observed_fact,evidence_url,evidence_type,observed_at,region,access_mode,confidence,actor,input,output,page_module,entity,event,state,error_exception,document,personal_data,risk,handoff,inference,gap_reason,next_method,product_implication,metric_name,metric_value,metric_unit,metric_currency,metric_period,metric_territory,metric_classification,metric_method,metric_publisher,source_title,source_publication_date
tradekey,tradekey:D00.1,D00,D00 Positioning,positioning_audience_geography,"What is the platform position, audience, geography, category breadth and proposition?",observed,TradeKey publicly presents a B2B marketplace connecting buyers/importers with suppliers/exporters.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",high,buyer/seller/platform as applicable,dimension-specific intent,TradeKey publicly presents a B2B marketplace connecting buyers/importers with suppliers/exporters.,https://www.tradekey.com/,Positioning Audience Geography,positioning_audience_geography.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",members claimed,11 million+,importers/exporters,not applicable,homepage snapshot,global,audience claim,publisher-stated,TradeKey,Homepage,dynamic
tradekey,tradekey:D01.1,D01,D01-D10 Discovery,home_page,What does the guest homepage expose?,observed,Public TradeKey evidence supports this directory/lead/policy capability at a high level; transaction execution was not observed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,Public TradeKey evidence supports this directory/lead/policy capability at a high level; transaction execution was not observed.,https://www.tradekey.com/,Home Page,home_page.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D02.1,D02,D01-D10 Discovery,global_navigation,Are core destinations visible?,observed,Public TradeKey evidence supports this directory/lead/policy capability at a high level; transaction execution was not observed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,Public TradeKey evidence supports this directory/lead/policy capability at a high level; transaction execution was not observed.,https://www.tradekey.com/,Global Navigation,global_navigation.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D03.1,D03,D01-D10 Discovery,search_entry,What search scopes and input constraints are visible?,observed,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,Search Entry,search_entry.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D04.1,D04,D01-D10 Discovery,search_results,What result layout and count appear for a reproducible query?,observed,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,Search Results,search_results.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D05.1,D05,D01-D10 Discovery,category_taxonomy,Is a category hierarchy visible?,observed,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,Category Taxonomy,category_taxonomy.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D06.1,D06,D01-D10 Discovery,filters,Are filters evidenced?,observed,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,Filters,filters.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D07.1,D07,D01-D10 Discovery,sorting,Which sort controls and defaults exist?,observed,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,Sorting,sorting.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D08.1,D08,D01-D10 Discovery,listing_card,What appears on a guest product card?,observed,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,Listing Card,listing_card.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
tradekey,tradekey:D09.1,D09,D01-D10 Discovery,product_detail,Which product fields/actions appear?,observed,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, RFQ, message, order or payment",medium,buyer/seller/platform as applicable,dimension-specific intent,TradeKey public pages expose category/search/product-or-supplier discovery cues; depth varies and no authenticated action was executed.,https://www.tradekey.com/,Product Detail,product_detail.evaluated,public -> recorded,Authenticated and transaction edge cases not executed,No real document generated,No personal data submitted,Do not generalize evidence across the three sites or infer transaction protection,PM/UX/ENG/SUP/BUY plus specialist,Inference limited to TradeKey evidence only,,,"Preserve site identity, confidence, state, regional scope and unknowns",,,,,,,,,,,
