source_id,title,publisher,url,source_type,access_date,used_for,confidence_note
S01,Digital Services Act (Regulation (EU) 2022/2065) + Q&A کمیسیون,EUR-Lex + European Commission,https://eur-lex.europa.eu/eli/reg/2022/2065/oj + https://ec.europa.eu/commission/presscorner/api/files/document/print/en/qanda_20_2348/QANDA_20_2348_EN.pdf,اولیه,2026-08-24,تعهدات بازارگاه آنلاین KYBC بررسی تصادفی اطلاع خریدار معافیت واسط,متن رسمی + سند توضیحی رسمی
S02,General Product Safety Regulation (Regulation (EU) 2023/988) Art.16/22 و recital 49,EUR-Lex,https://eur-lex.europa.eu/eli/reg/2023/988/oj/eng,اولیه,2026-08-24,مسئولیت ایمنی محصول و بازارگاه آنلاین و responsible person,متن رسمی
S03,Product Liability Directive (Directive (EU) 2024/2853),EUR-Lex,https://eur-lex.europa.eu/eli/dir/2024/2853/oj/eng,اولیه,2026-08-24,آبشار مسئولیت سازنده/واردکننده/نماینده مجاز/fulfilment و قواعد دلالر-گونه پلتفرم,اجرا برای محصولات عرضه‌شده از 2026-12-09
S04,Directive 2000/31/EC (E-Commerce Directive) Articles 12-15,EUR-Lex,https://eur-lex.europa.eu/eli/dir/2000/31/oj,اولیه,2026-08-24,معافیت مشروط hosting و ممنوعیت پایش عمومی,متن رسمی
S05,L'Oréal SA v eBay International AG (CJEU C-324/09 خلاصه),Columbia Global Freedom of Expression,https://globalfreedomofexpression.columbia.edu/cases/loreal-sa-v-ebay-international-ag/,ثانویه-معتبر,2026-08-24,نقش فعال پلتفرم و سقوط معافیت Art.14,خلاصه دانشگاهی رأی؛ متن کامل در curia.europa.eu
S06,PSD2 (Directive (EU) 2015/2366) Art.3 و Recital 11 + تحلیل Stripe/Ryft/LetsLaw,EUR-Lex + Stripe,https://eur-lex.europa.eu/eli/dir/2015/2366/oj + https://stripe.com/guides/how-psd2-impacts-marketplaces-and-platforms + https://www.ryftpay.com/blog/psd2-regulations-impact,اولیه+ثانویه,2026-08-24,معافیت نماینده تجاری و نیاز به مجوز در نگهداری وجوه دوطرفه,متن رسمی + دو تفسیر مستقل صنعت
S07,Iranian Transactions and Sanctions Regulations 31 CFR Part 560 (§§ 560.204/560.206/560.208/560.416/560.417),Federal Register + govinfo,https://www.federalregister.gov/documents/2012/10/22/2012-25770/iranian-transactions-regulations + https://www.govinfo.gov/content/pkg/CFR-2019-title31-vol3/xml/CFR-2019-title31-vol3-part560.xml,اولیه,2026-08-24,ممنوعیت خدمات/کارگزاری/تسهیل برای اشخاص آمریکایی در تجارت ایران,متن فدرال رجیستر و govinfo
S08,Union Customs Code (Reg 952/2013) نمایندگی گمرکی + CJEU C-714/20,Irish Revenue Tax & Duty Manual + Wolters Kluwer,https://www.revenue.ie/en/tax-professionals/tdm/customs/customs-debts/collection-of-customs-debts-20230522113841.pdf + https://legalblogs.wolterskluwer.com/international-tax-law-blog/indirect-customs-representative-no-joint-and-several-liability-for-import-vat/,رسمی-دولتی+ثانویه,2026-08-24,نمایندگی مستقیم/غیرمستقیم و مسئولیت تضامنی بدهی گمرکی (نه VAT),منوال رسمی نقل UCC + رأی CJEU
S09,China E-Commerce Law 2018 Article 38,China Law Translate + CMS Law,https://www.chinalawtranslate.com/en/p-r-c-e-commerce-law-2018/ + https://cms.law/en/chn/legal-updates/New-Law-governing-E-commerce-is-published-in-China,ترجمه-ثانویه,2026-08-24,مسئولیت مشروط پلتفرم چین (knows or should have known),ترجمه معتبر + تحلیل مؤسسه حقوقی
S10,قانون تجارت الکترونیکی ایران مصوب ۱۳۸۲ با اصلاحات (مواد ۲/۶-۸/۱۰-۱۶/۲۶-۲۹/۳۳-۴۶/۵۰-۵۷/۵۸-۵۹/۶۲-۶۸),بازنشر اختبار از متن قانون,https://www.ekhtebar.ir/قانون-تجارت-الکترونیکی/,اولیه-محتوا/ثانویه-نشر,2026-08-24,اعتبار داده‌پیام و امضا؛ الزامات اطلاع‌رسانی و تبلیغ؛ جرایم,متن قانون به بازنشر؛ نسخه روزنامه رسمی در این نشست باز نشد
S11,قانون مقررات صادرات و واردات ۱۳۷۲ و آیین‌نامه — گزارش TRD-002,واحد TRADE (داخلی qa-accepted),https://github.com/amirreza-torbat/market/blob/arena/01a029c7-market/docs/units/TRADE/reports/accepted/TRD-002.md,داخلی,2026-08-24,کارت بازرگانی و کالای مشروط,مبنای قبلی QA-pass
S12,سامانه‌های رسمی تجارت ایران NTSW/EPL/CSCS/INSO — گزارش TRD-001,واحد TRADE (داخلی qa-accepted),https://github.com/amirreza-torbat/market/blob/arena/01a029c7-market/docs/units/TRADE/reports/accepted/TRD-001.md,داخلی,2026-08-24,سامانه‌های اظهار و مجوز و گواهی مبدأ,مبنای قبلی QA-pass
S13,New York Convention 1958 — وضعیت ایران (الحاق ۲۰۰۱/۲۰۰۲ رزرو تجاری+متقابل),New York Convention Guide (Columbia) + Rezvanian,https://newyorkconvention1958.org/index.php?lvl=notice_display&id=1763 + https://rezvanianinternational.com/new-york-convention-in-iran/,ثانویه-معتبر,2026-08-24,اعتبار داوری خارجی در ایران و اصل ۱۳۹,دو منبع مستقل
S14,The CISG and Iran — عدم الحاق ایران به CISG,Durham University e-Theses,https://etheses.dur.ac.uk/16/,ثانویه-دانشگاهی,2026-08-24,عدم عضویت ایران در CISG,پایان‌نامه حقوقی دانشگاه دورام
S15,پرونده Alibaba.com و Trade Assurance (کارمزد ۱-۲٪ سقف ۱۰۰ دلار از فروشنده CN/HK/TW) — گزارش RND-002,واحد RND (داخلی qa-accepted),https://github.com/amirreza-torbat/market/blob/arena/01a029c7-market/docs/units/RND/reports/accepted/RND-002.md,داخلی,2026-08-24,بنچمارک پرداخت شرطی پلتفرمی,مشاهده مستقیم صفحه رسمی در RND-002
S16,FinCEN MSB / 31 U.S.C. 5330 ثبت money transmitter,FinCEN + Cornell LII,https://www.fincen.gov/money-services-business-msb-information-center + https://www.law.cornell.edu/uscode/text/31/5330,اولیه/رسمی,2026-08-24,ثبت فدرال انتقال پول (لایحه‌ای مستقل از مجوز ایالتی),صفحه رسمی FinCEN + متن قانون
S17,47 U.S.C. Section 230 (Communications Decency Act),Cornell LII,https://www.law.cornell.edu/uscode/text/47/230,اولیه,2026-08-24,پوشش مسئولیت محتوای ثالث در آمریکا,لینک پایدار متن قانون
