site,path_id,actor,step,goal,page_module,input,event,state_before,state_after,output,error_exception,document,personal_data,risk,handoff,evidence_state,evidence_url,observed_at,confidence,notes
tradekey,tradekey-b01,buyer_guest,1,Enter marketplace,https://www.tradekey.com/,guest intent,tradekey.buyer_guest.1,previous public state,public_evidence_or_auth_gate,TradeKey enter marketplace evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.tradekey.com/,2026-08-24,medium,
tradekey,tradekey-b02,buyer_guest,2,Discover products or requirements,https://importer.tradekey.com/party-supplies-importer.html,guest intent,tradekey.buyer_guest.2,previous public state,public_evidence_or_auth_gate,TradeKey discover products or requirements evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://importer.tradekey.com/party-supplies-importer.html,2026-08-24,medium,
tradekey,tradekey-b03,buyer_guest,3,Assess counterpart,https://www.tradekey.com/,guest intent,tradekey.buyer_guest.3,previous public state,public_evidence_or_auth_gate,TradeKey assess counterpart evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.tradekey.com/,2026-08-24,medium,
tradekey,tradekey-b04,buyer_guest,4,Contact or quote,https://importer.tradekey.com/party-supplies-importer.html,guest intent,tradekey.buyer_guest.4,previous public state,public_evidence_or_auth_gate,TradeKey contact or quote evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://importer.tradekey.com/party-supplies-importer.html,2026-08-24,medium,
tradekey,tradekey-b05,buyer_guest,5,Proceed toward transaction/support,https://www.tradekey.com/,guest intent,tradekey.buyer_guest.5,previous public state,public_evidence_or_auth_gate,TradeKey proceed toward transaction/support evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.tradekey.com/,2026-08-24,medium,
tradekey,tradekey-s01,seller_guest,1,Enter marketplace,https://www.tradekey.com/,guest intent,tradekey.seller_guest.1,previous public state,public_evidence_or_auth_gate,TradeKey enter marketplace evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.tradekey.com/,2026-08-24,medium,
tradekey,tradekey-s02,seller_guest,2,Discover products or requirements,https://importer.tradekey.com/party-supplies-importer.html,guest intent,tradekey.seller_guest.2,previous public state,public_evidence_or_auth_gate,TradeKey discover products or requirements evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://importer.tradekey.com/party-supplies-importer.html,2026-08-24,medium,
tradekey,tradekey-s03,seller_guest,3,Assess counterpart,https://www.tradekey.com/,guest intent,tradekey.seller_guest.3,previous public state,public_evidence_or_auth_gate,TradeKey assess counterpart evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.tradekey.com/,2026-08-24,medium,
tradekey,tradekey-s04,seller_guest,4,Contact or quote,https://importer.tradekey.com/party-supplies-importer.html,guest intent,tradekey.seller_guest.4,previous public state,public_evidence_or_auth_gate,TradeKey contact or quote evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://importer.tradekey.com/party-supplies-importer.html,2026-08-24,medium,
tradekey,tradekey-s05,seller_guest,5,Proceed toward transaction/support,https://www.tradekey.com/,guest intent,tradekey.seller_guest.5,previous public state,public_evidence_or_auth_gate,TradeKey proceed toward transaction/support evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.tradekey.com/,2026-08-24,medium,
ec21,ec21-b01,buyer_guest,1,Enter marketplace,https://www.ec21.com/,guest intent,ec21.buyer_guest.1,previous public state,public_evidence_or_auth_gate,EC21 enter marketplace evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.ec21.com/,2026-08-24,medium,
ec21,ec21-b02,buyer_guest,2,Discover products or requirements,https://importer.ec21.com/,guest intent,ec21.buyer_guest.2,previous public state,public_evidence_or_auth_gate,EC21 discover products or requirements evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://importer.ec21.com/,2026-08-24,medium,
ec21,ec21-b03,buyer_guest,3,Assess counterpart,https://www.ec21.com/,guest intent,ec21.buyer_guest.3,previous public state,public_evidence_or_auth_gate,EC21 assess counterpart evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.ec21.com/,2026-08-24,medium,
ec21,ec21-b04,buyer_guest,4,Contact or quote,https://importer.ec21.com/,guest intent,ec21.buyer_guest.4,previous public state,public_evidence_or_auth_gate,EC21 contact or quote evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://importer.ec21.com/,2026-08-24,medium,
ec21,ec21-b05,buyer_guest,5,Proceed toward transaction/support,https://www.ec21.com/,guest intent,ec21.buyer_guest.5,previous public state,public_evidence_or_auth_gate,EC21 proceed toward transaction/support evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.ec21.com/,2026-08-24,medium,
ec21,ec21-s01,seller_guest,1,Enter marketplace,https://www.ec21.com/,guest intent,ec21.seller_guest.1,previous public state,public_evidence_or_auth_gate,EC21 enter marketplace evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.ec21.com/,2026-08-24,medium,
ec21,ec21-s02,seller_guest,2,Discover products or requirements,https://importer.ec21.com/,guest intent,ec21.seller_guest.2,previous public state,public_evidence_or_auth_gate,EC21 discover products or requirements evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://importer.ec21.com/,2026-08-24,medium,
ec21,ec21-s03,seller_guest,3,Assess counterpart,https://www.ec21.com/,guest intent,ec21.seller_guest.3,previous public state,public_evidence_or_auth_gate,EC21 assess counterpart evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://www.ec21.com/,2026-08-24,medium,
ec21,ec21-s04,seller_guest,4,Contact or quote,https://importer.ec21.com/,guest intent,ec21.seller_guest.4,previous public state,public_evidence_or_auth_gate,EC21 contact or quote evidence,No account/action/transaction; auth or premium gate not crossed,none generated,none submitted,Site-specific directory/lead evidence only,PM/UX/ENG/SUP/BUY,observed,https://importer.ec21.com/,2026-08-24,medium,
