model_id,model_fa,dimension,summary_fa,source_ids,confidence,type
M1,بازارگاه آنلاین (marketplace),تعهدات پلتفرم,"KYBC و شناسایی تاجر (DSA Art.17)، بررسی تصادفی انطباق آفرها، اطلاع‌رسانی به خریدار در صورت غیرقانونی بودن کالا، تعلیق فروشنده متخلف سری، شفافیت T&C و الگوریتم توصیه","S01,S02,S20",بالا,واقعیت-قانون
M1,بازارگاه آنلاین (marketplace),مسئولیت در برابر فروشنده,"مسئولیت قراردادی محدود به T&C؛ در ایران رابطه پلتفرم-فروشنده تابع قواعد عمومی قراردادها است نه فصل مصرف‌کننده قانون تجارت الکترونیکی","S10",متوسط,استنباط
M1,بازارگاه آنلاین (marketplace),مسئولیت در برابر خریدار,"در EU فقط اگر محصول را به‌گونه‌ای عرضه کند که خریدار عادی گمان کند خود پلتفرم یا تاجر تحت کنترل او عرضه می‌کند (PLD و قواعد دلالر-گونه)؛ در غیر این صورت مستثنی مشروط Art.14 ECD","S03,S04,S05",بالا,واقعیت-قانون
M1,بازارگاه آنلاین (marketplace),مسئولیت کیفیت کالا,"در EU: سازنده/واردکننده/نماینده مجاز/ارائه‌دهنده fulfillment در آبشار مسئول‌اند نه بازارگاه خنثی؛ در GPSR فقط اگر هم‌زمان economic operator شود. در ایران: ضمانن اجرا (تضمین کیفی) قراردادی بین فروشنده و خریدار","S02,S03",بالا,واقعیت-قانون
M1,بازارگاه آنلاین (marketplace),مسئولیت پرداخت,"اگر وجوه را نگه ندارد و PSP مجوزدار تسویه کند، از شمول PSD2 معاف؛ در غیر این صورت نیاز به مجوز خدمات پرداخت","S06",بالا,واقعیت-قانون
M1,بازارگاه آنلاین (marketplace),مسئولیت اطلاعات نادرست,"مسئول مستقیم محتوا فروشنده است؛ پلتفرم مشمول معافیت مشروط hosting است به شرط حذف سریع پس از آگاهی؛ نقش فعال (تبلیغ/بهینه‌سازی آفر) معافیت را می‌سوزاند (C-324/09)؛ در ایران مواد ۵۰-۵۴ قانون تجارت الکترونیکی خطاب به تأمین‌کننده است","S04,S05,S10",بالا,واقعیت-قانون
M1,بازارگاه آنلاین (marketplace),مسئولیت تحریم و انطباق,"پلتفرم غیرآمریکایی بدون نکسوس آمریکا مالکیتی/تحریمی، ممنوعیت مطلق ITSR را مستقیم ندارد اما ریسک تحریم ثانویه و لیست‌پرسی OFAC/EU را دارد؛ با نکسوس آمریکا خدمات به ایران ممنوع (brokering هم خدمت است)","S07",بالا,واقعیت-قانون
M1,بازارگاه آنلاین (marketplace),مسئولیت اسناد و لجستیک,"صفر تا صد اظهار و مجوزها بر عهده صادرکننده (کارت بازرگانی + NTSW/EPL)؛ پلتفرم فقط الزامات را نمایش و پیگیری می‌کند؛ در مقصد، نماینده گمرکی و واردکننده پاسخ‌گویند","S11,S12,S08",بالا,واقعیت-قانون
M1,بازارگاه آنلاین (marketplace),ریسک‌های قراردادی,"سوءبرداشت خریدار از نقش پلتفرم (distributor جلوه دادن)، شرایط نامتوازن T&C، جابه‌جایی مسئولیت بدون پشتوانه قانون","S03,S05",متوسط,استنباط
M1,بازارگاه آنلاین (marketplace),قانون حاکم و حوزه قضایی,"T&C پلتفرم با ایران؛ قرارداد فروش B2B با انتخاب صریح (ایران عضو CISG نیست؛ Rome I پیش‌فرض قانون فروشنده)؛ داوری قابل اجرا در ایران به موجب عضویت NY Convention با رزروها","S13,S14,S18",بالا,واقعیت-قانون
M2,عامل/نماینده (agent),تعهدات پلتفرم,"تعهد فیدوسیاری به موکل (وفاداری، افشا، حساب‌دستی جدا)؛ اختیارات از قرارداد وكالت؛ عمل در حدود وكالت به موکل منتسب است","S06,S10",متوسط,استنباط
M2,عامل/نماینده (agent),مسئولیت در برابر فروشنده,"اگر نماینده فروشنده باشد: خروج از تعهدات وكالت (توافق خارج، کم‌فروشی در احراز) ضمانن اجرا دارد؛ تضاد منافع باید مدیریت شود","S06",متوسط,استنباط
M2,عامل/نماینده (agent),مسئولیت در برابر خریدار,"اگر نماینده خریدار باشد (سورسینگ) باید منافع خریدار را حفظ کند؛ عدم احراز درست کیفیت، مسئولیت قراردادی به موکل دارد نه وجانی عمومی","S06",متوسط,استنباط
M2,عامل/نماینده (agent),مسئولیت کیفیت کالا,"نماینده به‌طور پیش‌فرض ضامن کیفیت نیست مگر تضمین صریح داده باشد؛ در PLD/EU فقط اگر نقش economic operator بپذیرد","S03",متوسط,استنباط
M2,عامل/نماینده (agent),مسئولیت پرداخت,"در PSD2 نمایندگی تجاری فقط برای یکی از طرفین معافیت دارد؛ نماینده هر دو طرف = یا مجوز یا عدم نگهداری وجوه","S06",بالا,واقعیت-قانون
M2,عامل/نماینده (agent),مسئولیت اطلاعات نادرست,"اطلاعاتی که خود عامل به موکل می‌دهد باید صحیح باشد (تعهد فیدوسیاری)؛ محتوای فروشنده همچنان ذمه فروشنده","S06,S10",متوسط,استنباط
M2,عامل/نماینده (agent),مسئولیت تحریم و انطباق,"برای عامل آمریکایی هر عمل وكالتی در تجارت ایران 'خدمات/کارگزاری' ممنوع است (560.204 و 560.416)؛ برای عامل غیرآمریکایی ریسک ثانویه و لیست‌پرسی","S07",بالا,واقعیت-قانون
M2,عامل/نماینده (agent),مسئولیت اسناد و لجستیک,"اگر وكالت اظهارنامه/اسناد بگیرد در ایران باید از ابزارهای شخص صاحب کالا استفاده کند؛ در EU نمایندگی گمرکی غیرمستقیم مسئولیت تضامنی می‌آورد","S08,S11",متوسط,واقعیت-قانون
M2,عامل/نماینده (agent),ریسک‌های قراردادی,"دوسویی نقش (نماینده هر دو طرف) ابطال‌پذیری و تعارض منافع می‌سازد؛ فراتر رفتن از وكالت (ultra vires) بحث انتساب","S06,S08",متوسط,استنباط
M2,عامل/نماینده (agent),قانون حاکم و حوزه قضایی,"قرارداد وكالت مستقل از قرارداد فروش؛ انتخاب قانون جدا لازم است؛ در تعارض، قانون وكالت ممکن است با قانون فروش متفاوت باشد","S18",متوسط,استنباط
M3,کارگزار (broker),تعهدات پلتفرم,"معرفی/واسطه‌گری معامله بدون ورود به عقد؛ تعهد به صحت معرفی و عدم گمراه‌سازی؛ در تحریم‌های آمریکا 'brokering' صراحتاً نوع خدمات است","S07,S10",متوسط,استنباط
M3,کارگزار (broker),مسئولیت در برابر فروشنده,"کارمزد مطابق قرارداد معرفی؛ مسئولیت در صورت معرفی خریدار جعلی/نامطمئن فقط با تعهد صریح احراز (verify) یا تقصیر","S06",متوسط,استنباط
M3,کارگزار (broker),مسئولیت در برابر خریدار,"مشابه فروشنده؛ گمراه‌سازی آگاهانه مسئولیت مدنی/جرم (کلاهبرداری رایانه‌ای ماده ۶۷ قانون تجارت الکترونیک در ایران) می‌سازد","S10",متوسط,واقعیت-قانون
M3,کارگزار (broker),مسئولیت کیفیت کالا,"بدون تعهد صریح، ضامن کیفیت نیست؛ نمایش تضمین باید زبان دقیق داشته باشد تا 'عرضه به نام خود' تلقی نشود","S03",متوسط,استنباط
M3,کارگزار (broker),مسئولیت پرداخت,"دریافت و انتقال وجه بین طرفین بدون مجوز = خدمات پرداخت؛ در آمریکا money transmission ثبت‌شده و مجوز ایالتی می‌خواهد","S06,S16",بالا,واقعیت-قانون
M3,کارگزار (broker),مسئولیت اطلاعات نادرست,"مسئولیت در حد نقش فعال؛ تبلیغ فریبنده (مواد ۵۰-۵۴ ایران) اگر خود کارگزار تبلیغ کند مستقیماً خطاب اوست","S10",متوسط,واقعیت-قانون
M3,کارگزار (broker),مسئولیت تحریم و انطباق,"560.416: brokering برای آمریکا/آمریکایی در تجارت ایران ممنوع؛ کارگزار غیرآمریکایی باید طرفین را با SDN/EU list غربال کند","S07",بالا,واقعیت-قانون
M3,کارگزار (broker),مسئولیت اسناد و لجستیک,"کارگزار صرف معامله در اسناد گمرکی دخالت ندارد مگر وكالت جدا؛ در آمریکا دلال گمرکی لایسنس فدرال می‌خواهد","S08",متوسط,واقعیت-قانون
M3,کارگزار (broker),ریسک‌های قراردادی,"مرز مبهم broker/agent/merchant در رویه قضایی مقصد؛ کارمزد پنهان؛ نمایندگی ضمنی (apparent authority)","S05,S08",متوسط,استنباط
M3,کارگزار (broker),قانون حاکم و حوزه قضایی,"قرارداد کارگزاری کوتاه‌مدت و جدا از قرارداد فروش؛ حل اختلاف سریع (داوری نهادخانه‌ای) مناسب‌تر","S13",متوسط,استنباط
M4,واسطه خدماتی (intermediary),تعهدات پلتفرم,"تعریف DSA/ECD از خدمات واسط: ذخیره‌سازی/انتقال محتوا با معافیت مشروط؛ تکالیف notice-and-action و ممنوعیت پایش عمومی","S01,S04",بالا,واقعیت-قانون
M4,واسطه خدماتی (intermediary),مسئولیت در برابر فروشنده,"خدمت سطح‌بالا (hosting) با SLA؛ مسئولیت ناشی از قطع سرویس/حذف نادرست مطابق T&C و حقوق داخلی","S04",متوسط,استنباط
M4,واسطه خدماتی (intermediary),مسئولیت در برابر خریدار,"در EU معافیت مشروط Art.14 تا وقتی دانش فعلی ندارد و پس از اطلاع سریع حذف می‌کند؛ در آمریکا Section 230 پوشش وسیع‌تری برای محتوای ثالث می‌دهد (با استثناها)","S04,S17",بالا,واقعیت-قانون
M4,واسطه خدماتی (intermediary),مسئولیت کیفیت کالا,"خنثی نسبت به کیفیت؛ ریسک فقط با تجايز فعلی (تولید محتوا، ادعای تضمین) فعال می‌شود","S03,S04",متوسط,واقعیت-قانون
M4,واسطه خدماتی (intermediary),مسئولیت پرداخت,"واسط صرف در جریان پول نیست؛ اگر وجوه لمس کند دیگر 'واسط خنثی' نیست","S06",بالا,واقعیت-قانون
M4,واسطه خدماتی (intermediary),مسئولیت اطلاعات نادرست,"هسته مدل: مسئولیت مشروط؛ الزام DSA به درج پارامترهای اصلی moderation و سازوکار شکایت داخلی","S01,S04",بالا,واقعیت-قانون
M4,واسطه خدماتی (intermediary),مسئولیت تحریم و انطباق,"واسط هم باید غربالگری طرفین/کالا انجام دهد تا معافیت 'خنثی' تلقی شود؛ در غیر این صورت خودش معامله را تسهیل/مواجهه تحریمی می‌سازد","S07",متوسط,استنباط
M4,واسطه خدماتی (intermediary),مسئولیت اسناد و لجستیک,"هیچ؛ فقط نمایش اطلاعات اسنادی که فروشنده/فورواردر بارگذاری می‌کند؛ مسئولیت صحت سند با صادرکننده اسناد است","S11,S12",متوسط,استنباط
M4,واسطه خدماتی (intermediary),ریسک‌های قراردادی,"وسوسه نقش فعال برای رشد تبدیل (پرفروش‌ها، بج‌های پولی) که معافیت واسط را مخاطره‌آمیز می‌کند","S05",متوسط,استنباط
M4,واسطه خدماتی (intermediary),قانون حاکم و حوزه قضایی,"خدمات واسط مقر پلتفرم؛ ادعای خریدار EU ممکن است با قواعد مقصد (targeting) مطرح شود؛ نیازمند نماینده قانونی در EU در صورت ارائه سرویس به EU","S01",بالا,واقعیت-قانون
M5,ارائه‌دهنده خدمات (service provider),تعهدات پلتفرم,"خدمات احراز/اطلاعات/ابزار به هر دو طرف؛ مسئولیت قراردادی به کیفیت خدمت (نه کالا)؛ در ایران اگر سرویس پرداخت/نشر داده شخصی بدهد مشمول مقررات بخشی جدا است","S10,S12",متوسط,استنباط
M5,ارائه‌دهنده خدمات (service provider),مسئولیت در برابر فروشنده,"SLA خدمات (احراز، ویترین، RFQ)؛ خطای سرویس = مسئولیت قراردادی محدود به غرامت توافقی؛ در ایران مواد ۳۹-۴۱ قانون تجارت الکترونیک برای عدم امکان اجرا (B2C)","S10",متوسط,واقعیت-قانون
M5,ارائه‌دهنده خدمات (service provider),مسئولیت در برابر خریدار,"خدمات اطلاعاتی/سورسینگ؛ هر ادعای 'verified' باید روش و تاریخ احراز را شمول شود وگرنه گمراه‌کننده است","S01,S10",متوسط,استنباط
M5,ارائه‌دهنده خدمات (service provider),مسئولیت کیفیت کالا,"صفر (خارج از قلمرو خدمت) مگر در قالب بسته بازرسی که خود خدمت است؛ آنجا مسئولیت نسبت به 'انجام بازرسی استاندارد' است نه نتیجه فیزیکی کالا","S03",متوسط,استنباط
M5,ارائه‌دهنده خدمات (service provider),مسئولیت پرداخت,"ابزار پرداختِ دیگران را aخود می‌دهد (درگاه)؛ آجداسازی از PSP/بانک ضروری؛ اگر وجوه بنشیند مدل عوض می‌شود","S06",بالا,واقعیت-قانون
M5,ارائه‌دهنده خدمات (service provider),مسئولیت اطلاعات نادرست,"برای محتوای تولیدی خودش مسئول کامل (دیتاشیت‌ها، مقالات راهنما)؛ برای محتوای ثالث معافیت واسط","S01,S04",متوسط,استنباط
M5,ارائه‌دهنده خدمات (service provider),مسئولیت تحریم و انطباق,"سرویس احراز/امتیازدهی باید منبع رسمی (کارت بازرگانی، سامانه‌ها) را هدف بگیرد؛ خطای احراز ریسک قراردادی و اعتباری دارد","S07,S11",متوسط,استنباط
M5,ارائه‌دهنده خدمات (service provider),مسئولیت اسناد و لجستیک,"چک‌لیست اسناد را ارائه می‌دهد اما صحت سند با صادرکننده؛ سقف مسئولیت باید در قرارداد سرویس قید شود","S11,S12",متوسط,استنباط
M5,ارائه‌دهنده خدمات (service provider),ریسک‌های قراردادی,"گره‌خوردن مسئولیت سرویس با انتظار معامله موفق؛ شروط مسؤلیت‌سوز نامتوازن ممکن است در رویه مقصد بی‌اثر باشد","S05,S18",متوسط,استنباط
M5,ارائه‌دهنده خدمات (service provider),قانون حاکم و حوزه قضایی,"قرارداد سرویس با ایران؛ خریدار خارجی مشترک سرویس نیست (privity) و علیه پلتفرم در مقصد اقامه دعوا محدودتر است","S18",متوسط,استنباط
M6,تسهیل‌گر امانی (escrow facilitator),تعهدات پلتفرم,"نگهداری وجوه خریدار تا شرط (تأیید بازرسی/تحویل)؛ جداسازی اموال مشتریان، شفافیت کارمزد، سازوکار حل اختلاف برای آزادسازی","S06,S15",متوسط,استنباط
M6,تسهیل‌گر امانی (escrow facilitator),مسئولیت در برابر فروشنده,"ریسک آزاد نشدن وجه بابت اختلاف؛ قواعد امانی باید مهلت، مدرک و داور مشخص داشته باشد؛ الگو: Trade Assurance علی‌بابا (کارمزد ۱-۲٪ سقف ۱۰۰ دلار از فروشنده چین/HK/TW)","S15",متوسط,واقعیت-مشاهده
M6,تسهیل‌گر امانی (escrow facilitator),مسئولیت در برابر خریدار,"محافظت اصلی خریدار از پرداخت بی‌بازگشت؛ در عوض ریسک تقلب فروشنده به پلتفرم منتقل می‌شود اگر پلتفرم تضمین بدهد","S15",متوسط,استنباط
M6,تسهیل‌گر امانی (escrow facilitator),مسئولیت کیفیت کالا,"ارتباط مستقیم با کیفیت: آزادسازی وجه معمولاً به تأیید بازرسی گره می‌خورد؛ پلتفرم 'داور شرط' می‌شود نه ضامن کیفیت","S15",متوسط,استنباط
M6,تسهیل‌گر امانی (escrow facilitator),مسئولیت پرداخت,"هزینه‌ترین مدل: در EU نیاز مجوز PSD2 برای acts برای دو طرف؛ در آمریکا money transmitter ثبت+مجوز ایالتی؛ در ایران چارچوب دقیق بانک مرکزی در این نشست یافت نشد و باید در FIN-001 بررسی شود","S06,S16,S10",بالا,واقعیت-قانون
M6,تسهیل‌گر امانی (escrow facilitator),مسئولیت اطلاعات نادرست,"تصمیم آزادسازی بر اساس اسناد است؛ خطای ارزیابی مدرک = مسئولیت قراردادی؛ سند جعلی مشمول ماده ۶۸ قانون تجارت الکترونیک (جعل رایانه‌ای)","S10",متوسط,واقعیت-قانون
M6,تسهیل‌گر امانی (escrow facilitator),مسئولیت تحریم و انطباق,"انتقال ارز بین ایران و خریدار خارجی پرمخاطره‌ترین گره تحریمی است؛ هر طرح باید فیلتر CMP را بگذرد و مسیر بانکی قانونی (نه دور زدن) داشته باشد","S07",بالا,استنباط
M6,تسهیل‌گر امانی (escrow facilitator),مسئولیت اسناد و لجستیک,"شرط آزادسازی به سند حمل/بازرسی وابسته است؛ تأخیر سند یعنی اشغال وجه؛ تعریف دقیق trigger لازم است","S15",متوسط,استنباط
M6,تسهیل‌گر امانی (escrow facilitator),ریسک‌های قراردادی,"ریسک نقدینگی/اختلاس وجوه امانی، توقف حساب بانکی پلتفرم، تفسیر دوسوی شرط امانی؛ نیاز به حساب امانی جدا و حسابرسی","S06",متوسط,استنباط
M6,تسهیل‌گر امانی (escrow facilitator),قانون حاکم و حوزه قضایی,"قرارداد امانی با قانون ایران اگر وجوه در بانک ایران باشد؛ وجوه خارج از ایران قانون مقصد حساب؛ حل اختلاف باید تیز و ارزان (داوری مستند به مدرک) باشد","S06,S18",متوسط,استنباط
M7,تسهیل‌گر لجستیک (logistics facilitator),تعهدات پلتفرم,"مدیریت سفارش حمل: انتخاب/معرفی فورواردر، پیگیری، بسته اسناد؛ بدون قرارداد حمل مستقیم (فورواردر طرف قرارداد است)","S08,S12",متوسط,استنباط
M7,تسهیل‌گر لجستیک (logistics facilitator),مسئولیت در برابر فروشنده,"خطای انتخاب فورواردر یا اسناد ناقص = مسئولیت قراردادی در حد تقصیر؛ Incoterms تخصیص ریسک حمل را بین خریدار/فروشنده می‌دهد نه پلتفرم","S08",متوسط,استنباط
M7,تسهیل‌گر لجستیک (logistics facilitator),مسئولیت در برابر خریدار,"خریدار معمولاً طرف قرارداد حمل در CFR/CIF نیست؛ اگر پلتفرم 'تحویل تضمینی' اعلام کند وارد تعهد حمل می‌شود؛ زبان باید 'coordination' بماند","S08",متوسط,استنباط
M7,تسهیل‌گر لجستیک (logistics facilitator),مسئولیت کیفیت کالا,"هیچ، مگر انبار/بسته‌بندی فیزیکی بدهد؛ آنجا در EU ممکن است fulfilment service provider شمرده شود و در آبشار PLD آخرین حلقه مسئولیت شود (اگر حداقل دو خدمت از انبارش/بسته‌بندی/آدرس‌دهی/ارسال بدون مالکیت)","S03",بالا,واقعیت-قانون
M7,تسهیل‌گر لجستیک (logistics facilitator),مسئولیت پرداخت,"پرداخت کرایه حمل به فورواردر از طرف مشتری (پایپ خالی) یا از وجوه امانی؛ در حالت دوم مدل M6 فعال می‌شود","S06",متوسط,استنباط
M7,تسهیل‌گر لجستیک (logistics facilitator),مسئولیت اطلاعات نادرست,"چک‌لیست اسناد گمرکی مقصد باید منبع‌دار و تاریخ‌دار باشد؛ جدول مقررات سالانه ایران مرجع کالای مشروط است","S11,S12",متوسط,واقعیت-قانون
M7,تسهیل‌گر لجستیک (logistics facilitator),مسئولیت تحریم و انطباق,"ترانزیت از/به ایران، کشتی‌ها و ایرلاین‌های تحریمی، کالای دوکاربرد؛ باید غربالگری مسیر و کریر انجام شود؛ در EU نمایندگی گمرکی غیرمستقیم یعنی مسئولیت تضامنی بدهی گمرکی","S07,S08",بالا,واقعیت-قانون
M7,تسهیل‌گر لجستیک (logistics facilitator),مسئولیت اسناد و لجستیک,"هسته مدل: هماهنگی اسناد مبدأ (گواهی مبدأ CSCS، استاندارد، قرنطینه) با اسناد مقصد؛ خطای هماهنگی = تأخیر/جریمه گمرکی که معمولاً بر ذمه صادرکننده/واردکننده است","S11,S12",متوسط,استنباط
