record_id,dimension_id,group,field_name,question,evidence_state,observed_fact,evidence_url,evidence_type,observed_at,region,access_mode,confidence,actor,input,output,page_module,entity,event,state,error_exception,document,personal_data,risk,handoff,inference,gap_reason,next_method,product_implication,metric_name,metric_value,metric_unit,metric_currency,metric_period,metric_territory,metric_classification,metric_method,metric_publisher,source_title,source_publication_date,validation_status,validation_errors,template_version
D00.1,D00,D00 Positioning,positioning_audience_geography,"What is the platform position, audience, geography, category breadth and proposition?",observed,"Global Sources describes itself as a multichannel O2O sourcing platform combining online marketplace, apps, industry trade shows and business matching.",https://www.globalsources.com/corporate/en/about/,official-guidance,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer,Capability-specific intent/prerequisite in dimension question.,"Global Sources describes itself as a multichannel O2O sourcing platform combining online marketplace, apps, industry trade shows and business matching.",https://www.globalsources.com/corporate/en/about/,Positioning Audience Geography,positioning_audience_geography.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,UX/PM/SEO,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",registered buyers/users claimed,14 million+,users,not applicable,current about-page claim,worldwide,platform audience claim,publisher-stated; not independently audited,Global Sources,About Us,publication date not stated,pass,,RND-D00-D73-v1.1
D01.1,D01,D01-D10 Discovery,home_page,What does the guest homepage expose?,observed,"Homepage exposes shows, sourcing knowledge/support, products/suppliers, sign-in/register, Buyer Center, RFQ, inquiries, messages and orders.",https://www.globalsources.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer,Capability-specific intent/prerequisite in dimension question.,"Homepage exposes shows, sourcing knowledge/support, products/suppliers, sign-in/register, Buyer Center, RFQ, inquiries, messages and orders.",https://www.globalsources.com/,Home Page,home_page.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,UX/PM/SEO,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D02.1,D02,D01-D10 Discovery,global_navigation,Are core destinations visible?,observed,"Top navigation separates trade shows, sourcing ideas, buyer services, supplier services and account modules.",https://www.globalsources.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer,Capability-specific intent/prerequisite in dimension question.,"Top navigation separates trade shows, sourcing ideas, buyer services, supplier services and account modules.",https://www.globalsources.com/,Global Navigation,global_navigation.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,UX/PM/SEO,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D03.1,D03,D01-D10 Discovery,search_entry,What search scopes and input constraints are visible?,observed,Homepage exposes Products/Suppliers scopes; manufacturer result page represents keyword/category discovery.,https://www.globalsources.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer,Capability-specific intent/prerequisite in dimension question.,Homepage exposes Products/Suppliers scopes; manufacturer result page represents keyword/category discovery.,https://www.globalsources.com/,Search Entry,search_entry.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,UX/PM/SEO,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D04.1,D04,D01-D10 Discovery,search_results,What result layout and count appear for a reproducible query?,observed-not-found,A new live keyword query was not executed.,https://www.globalsources.com/robots.txt,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer,Capability-specific intent/prerequisite in dimension question.,A new live keyword query was not executed.,https://www.globalsources.com/robots.txt,Search Results,search_results.evaluated,guest/public -> observed-not-found,robots disallows encoded search and login/buyer center paths.,No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,UX/PM/SEO,Implication limited to cited evidence and access mode.,robots disallows encoded search and login/buyer center paths.,Use an authorized manual browser and record query/result snapshot.,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D05.1,D05,D01-D10 Discovery,category_taxonomy,Is a category hierarchy visible?,observed,Manufacturer result page exposes category hierarchy and a product/supplier result count.,https://www.globalsources.com/manufacturers/cordless-mini-polisher.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer,Capability-specific intent/prerequisite in dimension question.,Manufacturer result page exposes category hierarchy and a product/supplier result count.,https://www.globalsources.com/manufacturers/cordless-mini-polisher.html,Category Taxonomy,category_taxonomy.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,UX/PM/SEO,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",products in sampled result,257,products,not applicable,snapshot 2026-08-24,global result page,keyword/manufacturer result,direct page count,Global Sources,Cordless Mini Polisher result,dynamic,pass,,RND-D00-D73-v1.1
D06.1,D06,D01-D10 Discovery,filters,Are filters evidenced?,observed,"Result page exposes Verified Manufacturer, minimum order and FOB price controls.",https://www.globalsources.com/manufacturers/cordless-mini-polisher.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer,Capability-specific intent/prerequisite in dimension question.,"Result page exposes Verified Manufacturer, minimum order and FOB price controls.",https://www.globalsources.com/manufacturers/cordless-mini-polisher.html,Filters,filters.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,UX/PM/SEO,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D07.1,D07,D01-D10 Discovery,sorting,Which sort controls and defaults exist?,observed-not-found,Search-result sorting controls/default were not observed on the inspected public result.,https://www.globalsources.com/manufacturers/cordless-mini-polisher.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,guest buyer,Capability-specific intent/prerequisite in dimension question.,Search-result sorting controls/default were not observed on the inspected public result.,https://www.globalsources.com/manufacturers/cordless-mini-polisher.html,Sorting,sorting.evaluated,guest/public -> observed-not-found,No sort control appeared in fetched content.,No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,UX/PM/SEO,Implication limited to cited evidence and access mode.,No sort control appeared in fetched content.,Inspect manual result UI.,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D08.1,D08,D01-D10 Discovery,listing_card,What appears on a guest product card?,observed,"Result cards show title, price, MOQ, supplier, show history, verification/premier labels and Contact Supplier.",https://www.globalsources.com/manufacturers/cordless-mini-polisher.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer,Capability-specific intent/prerequisite in dimension question.,"Result cards show title, price, MOQ, supplier, show history, verification/premier labels and Contact Supplier.",https://www.globalsources.com/manufacturers/cordless-mini-polisher.html,Listing Card,listing_card.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,UX/PM/SEO,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",,,,,,,,,,,,pass,,RND-D00-D73-v1.1
D09.1,D09,D01-D10 Discovery,product_detail,Which product fields/actions appear?,observed,"Sample PDP shows tiered prices, quantity bands, lead time, specs, shipping, payment, supplier cues and inquiry form.",https://www.globalsources.com/Car-buffer/Car-Polisher-1200186001p.htm,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer,Capability-specific intent/prerequisite in dimension question.,"Sample PDP shows tiered prices, quantity bands, lead time, specs, shipping, payment, supplier cues and inquiry form.",https://www.globalsources.com/Car-buffer/Car-Polisher-1200186001p.htm,Product Detail,product_detail.evaluated,guest/public -> capability recorded,"Authenticated, regional and transaction edge cases not executed.",No real document submitted/generated; public policy/order/listing artifacts recorded where stated.,"No personal data submitted; public policies describe account, inquiry and behavioral data.",Publisher/supplier claims and sampled listings must not be generalized; account/region can alter behavior.,UX/PM/SEO,Implication limited to cited evidence and access mode.,,,"Keep state, provenance, unknowns and handoff explicit in product requirements.",sample PDP lowest tier price,22.79,USD per piece,USD,quantity >=2000; snapshot,supplier China,sample listing,direct transcription,Pinghu Sinotex Yijia via Global Sources,Car Polisher PDP,dynamic,pass,,RND-D00-D73-v1.1
