path_id,actor,step,goal,page_module,input,event,state_before,state_after,output,error_exception,document,personal_data,risk,handoff,evidence_state,evidence_url,observed_at,confidence,notes
B01,buyer_guest,1,Enter O2O marketplace,https://www.globalsources.com/,guest intent/requirement,B01.evaluated,previous public state,guest_home,products/suppliers/shows/support entry,region/personalization may differ,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,UX,observed,https://www.globalsources.com/,2026-08-24,high,
B02,buyer_guest,2,Discover products,https://www.globalsources.com/manufacturers/cordless-mini-polisher.html,guest intent/requirement,B02.evaluated,previous public state,results_viewed,price/MOQ/supplier/show cards,new live query not executed,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,UX/SEO,observed,https://www.globalsources.com/manufacturers/cordless-mini-polisher.html,2026-08-24,high,
B03,buyer_guest,3,Inspect PDP,https://www.globalsources.com/Car-buffer/Car-Polisher-1200186001p.htm,guest intent/requirement,B03.evaluated,previous public state,pdp_viewed,tier price/spec/shipping/payment/inquiry,supplier data not independent,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,PIM,observed,https://www.globalsources.com/Car-buffer/Car-Polisher-1200186001p.htm,2026-08-24,high,
B04,buyer_guest,4,Assess supplier,https://phyijia.manufacturer.globalsources.com/homepage_6008851991151.htm,guest intent/requirement,B04.evaluated,previous public state,supplier_assessed,verification/tier/response/show/profile cues,badge scope not quality guarantee,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,TNS/BUY,observed,https://phyijia.manufacturer.globalsources.com/homepage_6008851991151.htm,2026-08-24,high,
B05,buyer_guest,5,Contact supplier,https://www.globalsources.com/Car-buffer/Car-Polisher-1200186001p.htm,guest intent/requirement,B05.evaluated,previous public state,inquiry_gate,inquiry form/chat CTA,not submitted; email/account may be required,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,BUY/CS,observed,https://www.globalsources.com/Car-buffer/Car-Polisher-1200186001p.htm,2026-08-24,high,
B06,buyer_guest,6,Submit RFQ or compare,https://www.globalsources.com/knowledge/how-to-safely-source-and-sell-products-on-globalsourcescom/,guest intent/requirement,B06.evaluated,previous public state,rfq_documented,documented RFQ/matching path,auth execution not observed,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,BUY/SUP,observed,https://www.globalsources.com/knowledge/how-to-safely-source-and-sell-products-on-globalsourcescom/,2026-08-24,high,
B07,buyer_guest,7,Place Ready to Order,https://www.globalsources.com/handbook,guest intent/requirement,B07.evaluated,previous public state,order_gate,quantity/address/quotation flow documented,app/account required,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,FIN/UX,observed,https://www.globalsources.com/handbook,2026-08-24,high,
B08,buyer_guest,8,Pay,https://www.globalsources.com/helpCenter/article/3424/10004/10025,guest intent/requirement,B08.evaluated,previous public state,payment_not_executed,PayPal recommendation below USD10k,eligibility/order type dependent,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,FIN,observed,https://www.globalsources.com/helpCenter/article/3424/10004/10025,2026-08-24,high,
B09,buyer_guest,9,Track delivery,https://www.globalsources.com/handbook,guest intent/requirement,B09.evaluated,previous public state,tracking_auth_gate,ready/in transit/delivered notifications documented,no order exists,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,LOG,observed,https://www.globalsources.com/handbook,2026-08-24,high,
B10,buyer_guest,10,Review or dispute,https://www.globalsources.com/helpCenter/article/3380/10005/10028,guest intent/requirement,B10.evaluated,previous public state,post_order_not_executed,review/help/fraud-dispute routes,resolution states/SLA unknown,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,CS/LEG,observed,https://www.globalsources.com/helpCenter/article/3380/10005/10028,2026-08-24,high,
S01,seller_guest,1,Discover supplier services,https://www.globalsources.com/,guest intent/requirement,S01.evaluated,previous public state,supplier_landing,register/free supplier/promotion/show entries,regional language/service differences,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,SUP,observed,https://www.globalsources.com/,2026-08-24,high,
S02,seller_guest,2,Register supplier,https://www.globalsources.com/,guest intent/requirement,S02.evaluated,previous public state,registration_gate,supplier registration CTA,form not submitted,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,SUP/CMP,observed,https://www.globalsources.com/,2026-08-24,high,
S03,seller_guest,3,Provide verification information,https://www.globalsources.com/knowledge/what-is-a-verified-supplier-on-globalsources-com/,guest intent/requirement,S03.evaluated,previous public state,verification_documented,documents/audit process documented,current operational checklist not executed,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,CMP/SUP,observed,https://www.globalsources.com/knowledge/what-is-a-verified-supplier-on-globalsources-com/,2026-08-24,medium,
S04,seller_guest,4,Build storefront/catalog,https://phyijia.manufacturer.globalsources.com/homepage_6008851991151.htm,guest intent/requirement,S04.evaluated,previous public state,storefront_documented,profile/showroom/category/show modules,authenticated edit UI not seen,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,SUP/PIM,observed,https://phyijia.manufacturer.globalsources.com/homepage_6008851991151.htm,2026-08-24,high,
S05,seller_guest,5,Publish/promote products,https://www.globalsources.com/manufacturers/cordless-mini-polisher.html,guest intent/requirement,S05.evaluated,previous public state,listing_documented,"result cards, tiers, ads and show exposure",pricing/ranking rules unknown,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,SUP/PM,observed,https://www.globalsources.com/manufacturers/cordless-mini-polisher.html,2026-08-24,high,
S06,seller_guest,6,Receive inquiries,https://www.globalsources.com/Car-buffer/Car-Polisher-1200186001p.htm,guest intent/requirement,S06.evaluated,previous public state,inquiry_documented,inquiry/chat entry,message center auth-only,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,SUP/CS,observed,https://www.globalsources.com/Car-buffer/Car-Polisher-1200186001p.htm,2026-08-24,high,
S07,seller_guest,7,Respond to RFQ,https://www.globalsources.com/knowledge/how-to-safely-source-and-sell-products-on-globalsourcescom/,guest intent/requirement,S07.evaluated,previous public state,rfq_response_documented,official RFQ response concept,quote UI not executed,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,SUP,observed,https://www.globalsources.com/knowledge/how-to-safely-source-and-sell-products-on-globalsourcescom/,2026-08-24,high,
S08,seller_guest,8,Quote/order/fulfill,https://www.globalsources.com/handbook,guest intent/requirement,S08.evaluated,previous public state,transaction_not_executed,supplier quote then buyer PayPal and tracking documented,no order/payment/shipment,No real document generated,No personal data submitted,Guest/documented path; authenticated execution not proven,FIN/LOG/LEG,observed,https://www.globalsources.com/handbook,2026-08-24,high,
