canonical_name,category_code,category_name,canonical_url,aliases,owner_operator,owner_verification,country_or_territory,languages,marketplace_model,specialization,geography,access_status,login_requirement,traffic_rank,traffic_rank_date,traffic_source_url,traffic_score,specialty_score,geography_score,model_score,primary_source_url,source_type,accessed_at,confidence,decision,duplicate_of,discovery_query,discovery_source_url,notes
Alibaba.com,C1,عمومی جهانی,https://www.alibaba.com/,Alibaba,Alibaba Group,official source,China,Multilingual; English landing,cross-border wholesale marketplace,general B2B wholesale,global,public-indexed,public browse; account for messaging/transactions,302,2026-08-22,https://tranco-list.eu/api/ranks/domain/alibaba.com,2,1,2,2,https://www.alibabagroup.com/en-US/about-alibaba-businesses-1747711844698554368,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://www.alibabagroup.com/en-US/about-alibaba-businesses-1747711844698554368,Owner and model verified on Alibaba Group page.
Global Sources,C1,عمومی جهانی,https://www.globalsources.com/,,Global Sources,official source,Hong Kong,English; multiple locale links,B2B sourcing marketplace + trade shows,general sourcing,global with Asia supply focus,public-indexed,public browse; account for inquiry,12247,2026-08-22,https://tranco-list.eu/api/ranks/domain/globalsources.com,2,1,2,2,https://www.globalsources.com/knowledge/how-to-safely-source-and-sell-products-on-globalsourcescom/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://www.globalsources.com/knowledge/how-to-safely-source-and-sell-products-on-globalsourcescom/,
Made-in-China.com,C1,عمومی جهانی,https://www.made-in-china.com/,MIC,"Focus Technology Co., Ltd.",official source,China,English + 15 advertised locales,foreign-trade sourcing/RFQ/transaction services,general B2B wholesale,global with China supply focus,public landing observed,public browse; account for inquiry/transaction,2419,2026-08-22,https://tranco-list.eu/api/ranks/domain/made-in-china.com,2,1,2,2,https://www.made-in-china.com/aboutus/main/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://www.made-in-china.com/aboutus/main/,
TradeKey,C1,عمومی جهانی,https://www.tradekey.com/,,TradeKey,official source,Pakistan,English; localized country pages,B2B directory/leads + paid membership,general B2B,global,public-indexed,public browse; account for contact,27311,2026-08-22,https://tranco-list.eu/api/ranks/domain/tradekey.com,2,1,2,1,https://corporate.tradekey.com/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://corporate.tradekey.com/,
DHgate,C1,عمومی جهانی,https://www.dhgate.com/,,DHgate Group,brand/operator; legal entity not fully verified,China,Multilingual,cross-border wholesale marketplace,general wholesale and small-lot trade,global with China supply focus,public-indexed,public browse; account for order,3316,2026-08-22,https://tranco-list.eu/api/ranks/domain/dhgate.com,2,1,2,2,https://www.dhgate.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.dhgate.com/,
EC21,C1,عمومی جهانی,https://www.ec21.com/,,EC21 Inc.,official source,South Korea,English; Korean/Chinese variants advertised,B2B directory/RFQ + premium membership,general B2B,global,public-indexed,public browse; account for RFQ/contact,23037,2026-08-22,https://tranco-list.eu/api/ranks/domain/ec21.com,2,1,2,1,https://www.ec21.com/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://www.ec21.com/,
HKTDC Sourcing,C1,عمومی جهانی,https://sourcing.hktdc.com/,HKTDC Sourcing,Hong Kong Trade Development Council,official source,Hong Kong,English; Traditional Chinese; Simplified Chinese,official sourcing directory and inquiry platform,general sourcing,global with Hong Kong/China supply focus,public-indexed,public browse; account for inquiry,,,https://tranco-list.eu/api/ranks/domain/sourcing.hktdc.com,0,1,2,1,https://sourcing.hktdc.com/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://sourcing.hktdc.com/,Canonical subdomain returned no Tranco rank; parent-domain rank was not substituted.
IndiaMART,C2,عمومی منطقه‌ای,https://www.indiamart.com/,,IndiaMART InterMESH Limited,official source,India,English; Hindi/app localization advertised,B2B marketplace/leads,general B2B,India and international,public-indexed,public browse; contact often requires account/phone,1193,2026-08-22,https://tranco-list.eu/api/ranks/domain/indiamart.com,2,1,2,2,https://corporate.indiamart.com/,official/platform primary,2026-08-23,high,include,,systematic category seed + official-site verification,https://corporate.indiamart.com/,
ExportHub,C2,عمومی منطقه‌ای,https://www.exporthub.com/,,ExportHub,brand/operator; legal entity not fully verified,Not verified,English,B2B directory/leads + paid supplier services,general B2B,global; regional relevance,public-indexed,public browse; account for contact,45814,2026-08-22,https://tranco-list.eu/api/ranks/domain/exporthub.com,2,1,2,1,https://www.exporthub.com/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.exporthub.com/,Legal operator country was not confirmed from a primary legal page.
TurkishExporter,C2,عمومی منطقه‌ای,https://www.turkishexporter.net/,,TurkishExporter,brand/operator; legal entity not fully verified,Türkiye,English; Turkish,exporter directory and trade leads,general B2B,Türkiye to global,public-indexed,public browse; account for contact,202721,2026-08-22,https://tranco-list.eu/api/ranks/domain/turkishexporter.net,1,1,2,1,https://www.turkishexporter.net/,official/platform primary,2026-08-23,medium,include,,systematic category seed + official-site verification,https://www.turkishexporter.net/,
