document_id,document_type,issuer,issuer_condition,recipient,stage,precondition,order_state,error_risks,source_ids,evidence_label
D01,RFQ,"Buyer or buyer agent","Identity and minimum commercial data; buyer is not the platform","Invited sellers; platform envelope","Inquiry before quotation","Product description; quantity and unit; destination; required certificates if known","RFQ_OPEN or RFQ_CLARIFICATION","Ambiguous specification; missing destination; duplicate; impersonation; prohibited concealment request","S01;S02","customary practice"
D02,Quotation,"Seller or authorized seller representative","Seller identity; date; validity; goods; price; currency; delivery and payment terms","Buyer; platform and forwarder when needed","Response to RFQ","Sufficient product and logistics data; valid_until; named place and Incoterms","QUOTATION_SENT or COMMERCIAL_ACCEPTANCE_PENDING","Currency or quantity mismatch; expired validity; missing Incoterms; unauthorized quote","S01;S02;S03","customary practice with conditional legal effect"
D03,Proforma invoice,"Seller or authorized seller representative","Quote-linked version marked PRO FORMA with goods; quantity; price; currency; origin; delivery/payment terms","Buyer; bank or destination authority for preliminary process","After quote and before shipment","Commercial acceptance or stated preliminary use; not final payment invoice","COMMERCIAL_ACCEPTANCE_PENDING or DOCUMENTS_PENDING","Used as commercial invoice; missing mark; stale price; mismatch with PO or contract; forgery","S01;S02","customary practice"
D04,Purchase order,"Buyer or buyer procurement function","Internal approval; PO number; seller; goods; quantity; price; delivery and payment terms","Seller; buyer archive; platform evidence","After quote/PI or before them depending transaction","Buyer authority and resolved term differences; seller acceptance for fulfillment","PO_RECEIVED","No seller acceptance; conflicting terms; duplicate PO; wrong ship-to; mismatch with invoice","S03;S19","customary practice/evidence"
D05,Sales contract,"Buyer and seller or authorized signatories","Authority to sign; agreement on goods; quantity; price or method; delivery; law; dispute terms","Both parties; bank/carrier/insurer/authority only when needed","After commercial agreement before fulfillment","KYB/KYC; specification; Incoterms version and named place; schedule and annexes","CONTRACT_ACTIVE","Unauthorized signature; missing governing law; ambiguous specification; inconsistent PO/PI","S03;S04","legal fact conditional on applicable law"
D06,Commercial invoice,"Seller/exporter of actual sale","Final real transaction data; authorized signature; destination-specific content","Buyer; customs; broker; carrier; bank when LC applies","When goods and transaction data are final, before/at shipment","Contract; actual quantity/value; reconciliation with packing and PO/contract","READY_TO_SHIP or SHIPPED","Wrong value/HS/origin/party; PI used as CI; mismatch across documents; unauthorized signature","S01;S04","official guidance plus trade practice"
D07,Packing list,"Exporter/packer/shipper","Packing complete; physical tally; marks; packages; dimensions; net and gross weight","Buyer; carrier/terminal; customs; broker; inspector","After packing and before handover/declaration","Physical tally and invoice reference","PACKED or CUSTOMS_FILING","Package/weight/marks mismatch; poor packing; post-inspection alteration; used instead of invoice","S01;S04","customary export document"
D08,Certificate of origin,"Chamber or reliable authorized authority; exporter supplies origin evidence","Origin evidence; shipment linkage; authorized form/signature; preference rule if applicable","Buyer/importer; customs; bank","After origin and consignment data are stable, before/with shipment","Production/purchase evidence; invoice; packing; applicable rule of origin","DOCUMENTS_PENDING or READY_TO_SHIP","Wrong origin type; issuer not authorized; mismatch; expired/fake certificate; split shipment issue","S06;S07;S21","official chamber practice; destination-dependent"
D09,Bill of lading,"Carrier/master carrier or authorized agent","Carrier received cargo; shipping instructions; shipper data; VGM for packed container; on-board notation when applicable","Shipper; consignee; notify party; carrier; customs; bank","After booking and cargo receipt/loading","Contract of carriage; accurate marks/quantity/weight; VGM where applicable","TRANSPORT_RECEIVED or IN_TRANSIT","Wrong party/port/description; received confused with on board; container/seal mismatch; unauthorized document","S01;S08;S09","official transport practice"
D10,Customs declaration,"Exporter/owner or authorized customs agent submits; customs accepts or rejects","Authorization; classification; origin; value; quantity; weight; packages; permits; supporting documents","Customs and border regulators; destination importer/agent for import filing","After invoice/packing/permits and before exit or entry","Authorized declarant; complete data; applicable national system","CUSTOMS_FILING then CUSTOMS_CLEARED","Wrong HS/origin/value; incomplete attachments; expired permit; no authority; inspection or rejection","S10;S11;S12;S13","official customs data standard; national law dependent"
