from_state,to_state,trigger,guard,actor,note
AUTHORIZE,HOLD,واریز/قفل موفق وجه (درگاه یا حواله),روش مجاز؛ سندبازار اولیه؛ مقصد فعال,خریدار/سیستم/بانک,ورود به نگهداشت امانی
AUTHORIZE,CANCELLED,شکست پرداخت/انقضای مهلت/رد سندبازار اولیه,بدون وجه جابه‌جا شده,سیستم/CMP,بستن فارغ از وجه
HOLD,VERIFY,قفل وجوه تأیید شد,تأیید LEG/CMP برای مدل نگهداشت؛ حساب امانی فعال,امین/سیستم,شروع احراز
HOLD,EXPIRED,انقضای ۱۸۰ روز نگهداشت,بدون تصمیم مستند تمدید,سیستم خودکار,بازگشت خودکار در راه
VERIFY,INSPECT,نتیجه سندبازار = verified,کالا مجاز؛ مقصد مجاز؛ شناسه مجوز,CMP/سیستم,آماده بازرسی
VERIFY,CANCELLED,رد سندبازار/تحریم/PR,کد CMP,CMP,بستن + گزارش
INSPECT,SHIP,نتیجه بازرسی = pass,گزارش معتبر؛ قالب سند,INSP/سیستم,شروع حمل
INSPECT,REFUND,نتیجه بازرسی = fail + توافق,کد K4,طرفین/سیستم,بازگشت کامل
INSPECT,DISPUTE,ادعای عدم تطابق (کیفیت/کمیّت),شاهد اولیه + کد موضوع,خریدار/سیستم,قفل وجه
SHIP,DELIVERY,بارنامه on board + بیمه + اظهار گمرک,Incoterms مجاز؛ حمل‌کننده سندبازاری؛ بیمه معتبر (کالای مشمول),فروشنده/فورواردر/سیستم,مدارک مقصد
SHIP,DISPUTE,تأخیر/نقض/رد گمرکی/مغایرت اسناد,شاهد (کد موضوع),طرفین/سیستم,قفل وجه
SHIP,REFUND,فسخ توافقی پیش از حمل,کد K3 + هزینه‌های قابل‌اثبات,طرفین/سیستم,بازگشت منهای هزینه واقعی
DELIVERY,ACCEPT,POD/اظهار ورود مقصد ثبت شد,مقصد مجاز؛ گمرک مقصد تأیید,سیستم/حمل‌کننده,شروع پنجره پذیرش
DELIVERY,DISPUTE,گم‌شدن/آسیب/نقص/تأخیر,شاهد POD+گزارش,طرفین/سیستم,قفل وجه + بیمه
ACCEPT,RELEASE,پذیرش صریح یا ضمنی,پنجره تمام؛ سندبازار نهایی,سیستم/خریدار,آزادسازی
ACCEPT,DISPUTE,اعتراض مستند خریدار,شاهد + کد موضوع,خریدار/سیستم,قفل وجه
DISPUTE,RESOLUTION,عدم توافق در مذاکره (۱۰ روز کاری),شرط داوری LEG-005,طرفین/مرجع,داوری
DISPUTE,RELEASE,توافق/پذیرش (به‌نفع فروشنده),توافق‌نامه,طرفین/سیستم,آزادسازی
DISPUTE,REFUND,توافق/بازگشت (به‌نفع خریدار),توافق‌نامه,طرفین/سیستم,بازگشت
RESOLUTION,RELEASE,حکم به‌نفع فروشنده,رأی کتبی؛ سندبازار نهایی,مرجع/سیستم,پایانه
RESOLUTION,REFUND,حکم به‌نفع خریدار,رأی کتبی,مرجع/سیستم,پایانه
CANCELLED,REFUND,وجود وجه در HOLD هنگام بستن,کد علت (K1/K2/K7),سیستم,بازگشت کامل
EXPIRED,REFUND,انقضای مهلت (خودکار),کد K7,سیستم,بازگشت کامل
