dimension_id,group,field_name,question,evidence_state,observed_fact,evidence_url,evidence_type,observed_at,region,access_mode,confidence,actor,input,output,system_state,exception_path,cost_time,risk,dependency,inference,gap_reason,next_method,product_implication,metric_name,metric_value,metric_unit,metric_currency,metric_period,metric_territory,metric_classification,metric_method,metric_publisher,source_title,source_publication_date,validation_status,validation_errors,template_version
D00,D00 Positioning,positioning_audience_geography,"What is the platform position, audience, geography, category breadth and proposition?",observed,"HKTDC labels Sourcing an e-marketplace connecting global buyers and suppliers; guest home exposes products, services, suppliers, categories, RFQ and supplier enrollment.",https://sourcing.hktdc.com/newsbites/tips/hktdc-sourcing/,official-editorial-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer; supplier,,"discovery, enquiry and sourcing entry points",,,,Publisher self-description is not independent performance evidence.,,,,,Template must preserve publisher claim versus direct UI observation.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D01,D01-D10 Discovery,home_page,What does the guest homepage expose?,observed,"Guest homepage exposes language selector, login/register, Products/Services/Suppliers search, categories, RFQ paths, product cards, enquiry and supplier enrollment.",https://sourcing.hktdc.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,guest,,discovery entry points,,,,,,,,,Capture visible CTAs and roles separately.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D02,D01-D10 Discovery,global_navigation,Are core destinations visible?,observed,"Navigation links to My Sourcing, cart, RFQ list, Message Centre, notifications, favourites, history, support and sitemap.",https://sourcing.hktdc.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,guest,,module inventory,,,,,,,,,Record auth-gated destinations even when content is not entered.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D03,D01-D10 Discovery,search_entry,What search scopes and input constraints are visible?,observed,"Search offers Products, Services and Suppliers scopes and reports a minimum of two characters/numbers.",https://sourcing.hktdc.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,guest,keyword and scope,search submission,,,,,,,,,Template needs scope and validation-rule fields.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D04,D01-D10 Discovery,search_results,What result layout and count appear for a reproducible query?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcing.hktdc.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,A live keyword query was not executed; the Terms prohibit automated collection and this validation avoided scripted search.,"Use a manual browser in a future authorized dossier and record query, timestamp and result count.",Store query and result snapshot metadata; never infer ranking.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D05,D01-D10 Discovery,category_taxonomy,Is a category hierarchy visible?,observed,The public category page exposes 11 top-level category links and nested product catalog links.,https://sourcing.hktdc.com/en/Categories,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,guest,,category tree,,,,,,,,,Represent stable IDs and labels separately.,top-level category links observed,11,links,not applicable,snapshot 2026-08-24,global site,HKTDC category taxonomy,direct count of top-level links on page,Hong Kong Trade Development Council,Products Services Categories | HKTDC Sourcing,not stated,pass,,RND-D00-D73-v1
D06,D01-D10 Discovery,filters,Are filters evidenced?,observed,Official HKTDC guidance shows product/company certification filters and comparison through the Enquiry Basket.,https://sourcing.hktdc.com/newsbites/tips/certification/,official-guidance,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer,certification criterion,filtered discovery,,,,,,,,,"Evidence filter type and source, not assumed availability on every query.",,,,,,,,,,,,pass,,RND-D00-D73-v1
D07,D01-D10 Discovery,sorting,Which sort controls and defaults exist?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcing.hktdc.com/en/Categories,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,No sorting control was observed on the inspected category landing page.,Inspect a manual product-result page and record default/order options.,Add explicit default-sort and option fields.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D08,D01-D10 Discovery,listing_card,What appears on a guest product card?,observed,"Homepage cards show image, product title, supplier link, verification badge and Enquire action.",https://sourcing.hktdc.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,guest buyer,,product card,,,,,,,,,Card schema should separate supplier trust marker from product facts.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D09,D01-D10 Discovery,product_detail,Which product fields/actions appear?,observed,"Sample detail shows images, breadcrumb, title, supplier, verification mark, enquiry/compare, USD price range, unit, lead time, shipping methods and attributes.",https://sourcing.hktdc.com/en/Product-Detail/LED-zigzag-strip-bendable-1Z03NRSP5,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,guest buyer,product URL,detail and enquiry entry,,,,Single listing is not representative of all products.,,,,,Each field needs observed/missing status per listing.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D10,D01-D10 Discovery,supplier_detail,Which supplier fields/actions appear?,observed,"Sample supplier page shows location, business nature, badge, response-time band, update/advertise dates, profile sections, categories, products and Enquire.",https://sourcing.hktdc.com/en/Supplier-Store/Home/Simlux-Technology-Limited/1S00P1AAW,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,guest buyer,,supplier profile,,,,Supplier-entered data may be self-reported.,,,,,"Tag publisher, supplier, and third-party-verified fields separately.",,,,,,,,,,,,pass,,RND-D00-D73-v1
D11,D11-D20 Identity,registration_entry,Is registration entry visible?,observed,Homepage shows Register for Sourcing and supplier enrollment entry.,https://sourcing.hktdc.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,guest,,registration start,,,,,,,,,Capture buyer and supplier entry paths independently.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D12,D11-D20 Identity,buyer_registration,What buyer registration inputs are documented?,observed,"Official support requires email/password, personal information, company information and email activation; mobile/social linkage is optional.",https://sourcingsupport.hktdc.com/hc/en-us/articles/360056894674-How-to-register-for-an-account-on-hktdc-com-Sourcing,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer,"email, password, personal and company information",SSO account,pending email verification then active,,,,,,,,Model mandatory versus optional identity attributes.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D13,D11-D20 Identity,supplier_enrollment,What supplier enrollment path is public?,observed,Public supplier page offers paid promotion packages and contact/application forms; supplier store and product/service pages are package features.,https://sourcing.hktdc.com/newsbites/become-a-supplier/ecommerce/en/,official-offer-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier,contact and company/application information,package application,,,,Offer terms and eligibility can change.,,,,,Separate account creation from paid supplier activation.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D14,D11-D20 Identity,login,Which login mechanisms are documented?,observed,HKTDC documents email/password SSO; optional mobile OTP and social credentials can be linked.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360056894674-How-to-register-for-an-account-on-hktdc-com-Sourcing,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,registered user,credentials,authenticated session,,,,,,,,,Model multiple credential types under one account.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D15,D11-D20 Identity,role_selection,Is an explicit buyer/seller role-selection screen shown?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360056894674-How-to-register-for-an-account-on-hktdc-com-Sourcing,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,The inspected registration guide does not show an explicit mutually exclusive buyer/seller role selector.,Manually register only if separately authorized; record role assignment and switching.,Do not force mutually exclusive roles without evidence.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D16,D11-D20 Identity,email_verification,How is email verified?,observed,Official guide requires clicking an activation link sent by email before continuing.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360056894674-How-to-register-for-an-account-on-hktdc-com-Sourcing,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,registrant,activation link,verified email,email pending -> verified,,,,,,,,Represent verification state and resend/recovery path.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D17,D11-D20 Identity,mobile_verification,How is mobile verified?,observed,"Mobile OTP setup is optional; when selected, a one-time passcode is entered to verify the number.",https://sourcingsupport.hktdc.com/hc/en-us/articles/360056894674-How-to-register-for-an-account-on-hktdc-com-Sourcing,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,registrant,mobile number and OTP,verified mobile login,optional unverified -> verified,,,,,,,,Keep optional mobile verification distinct from mandatory email verification.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D18,D11-D20 Identity,company_onboarding,Is company information collected?,observed,The official registration guide includes a company-information step before submit.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360056894674-How-to-register-for-an-account-on-hktdc-com-Sourcing,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,registrant,company information,account application,,,,,,,,,Company data should be versioned and separately verified.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D19,D11-D20 Identity,kyc_kyb_documents,Which exact KYB documents are mandatory at registration?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360056894674-How-to-register-for-an-account-on-hktdc-com-Sourcing,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,The public registration guide shows company information but no exhaustive mandatory-document list for ordinary registration.,Review supplier application terms and authenticated onboarding with authorization.,Template must not relabel company information as verified KYB.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D20,D11-D20 Identity,password_recovery,What recovery path is documented?,observed,"Forgot Password uses account email, CAPTCHA, emailed secure link, new password and confirmation email.",https://sourcingsupport.hktdc.com/hc/en-us/articles/360052189193-How-to-change-or-reset-my-password,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,account holder,"email, CAPTCHA, reset link, new password",reset credential,reset requested -> reset complete,,,Email account compromise affects recovery.,,,,,"Record recovery channel, expiry if known, and confirmation event.",,,,,,,,,,,,pass,,RND-D00-D73-v1
D21,D21-D30 Supplier tools,dashboard,Is a supplier dashboard evidenced?,observed,Official HKTDC material states suppliers have a dashboard for performance/effectiveness and support shows My Dashboard modules.,https://sourcing.hktdc.com/newsbites/tips/hktdc-sourcing/,official-editorial-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier,,dashboard,,,,,authenticated supplier account,,,,Dashboard evidence can be documentation when direct auth view is unavailable.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D22,D21-D30 Supplier tools,company_profile,Can suppliers maintain a profile?,observed,"Supplier package and sample store evidence company profile, categories, capabilities and products/services.",https://sourcing.hktdc.com/en/Supplier-Store/Home/Simlux-Technology-Limited/1S00P1AAW,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier,,public supplier store,,,,,,,,,Distinguish editable claims from verification labels.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D23,D21-D30 Supplier tools,catalog_management,Is catalog/showroom management evidenced?,observed,"Supplier page has Products/Services, Category and Showroom sections; packages include product/service pages and media storage.",https://sourcing.hktdc.com/newsbites/become-a-supplier/ecommerce/en/,official-offer-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier,,catalog/storefront,,,,,supplier package,,,,Model catalog entitlements by plan.,,,,,,,,,,,,pass,,RND-D00-D73-v1
